"Código primer nivel";"Tipo de actividad primer nivel";"Código segundo nivel";"Tipo de actividad segundo nivel";"Código tercer nivel";"Tipo de actividad tercer nivel";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Actividad de transformación realizada en la explotación";"1";"Productos Agrarios";"1";"Zumos de fruta";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"1";"Productos Agrarios";"2";"Conservas";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"1";"Productos Agrarios";"3";"Mermelada";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"1";"Productos Agrarios";"4";"Bebidas alcohólicas";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"1";"Productos Agrarios";"5";"Uva mosto vino en productos alcohólicos";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"1";"Productos Agrarios";"6";"Otros productos agrarios";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"2";"Productos Lácteos";"1";"Leche de consumo";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"2";"Productos Lácteos";"2";"Nata";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"2";"Productos Lácteos";"3";"Mantequilla";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"2";"Productos Lácteos";"4";"Queso sin mezcla";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"2";"Productos Lácteos";"5";"Queso con mezcla";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"2";"Productos Lácteos";"6";"Yogurt";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"2";"Productos Lácteos";"7";"Otros equivalentes de la leche";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"2";"Productos Lácteos";"8";"Otros productos lácteos";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"3";"Productos Cárnicos";"1";"Paté";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"3";"Productos Cárnicos";"2";"Foi gras";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"3";"Productos Cárnicos";"3";"Embutido";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"3";"Productos Cárnicos";"4";"Otros productos cárnicos";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"4";"Trenzados e hilados";"1";"Trenzado de materiales";17/04/2023;;
"1";"Actividad de transformación realizada en la explotación";"4";"Trenzados e hilados";"2";"Textiles";17/04/2023;;
