"Código SIEX";"Código asociación";"NIF";"Razón social";"Detalle";"CA";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"10400144";"B04030292";"PARAFRUTS SL";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"2";"11100090";"B72321466";"AGROMARA SERVIOS TECNICOS S.L.U";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"3";"10400068";"F04001152";"CASI, S.COOP.AND.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"4";"10400145";"F04001780";"CABASC, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"5";"10400158";"F04002275";"CAMPOSOL SOC. COOP.ANDALUZA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"6";"10400030";"F04005344";"API SAN ISIDRO LABRADOR S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"7";"10400142";"F04006110";"EJIDOMAR S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"8";"10400149";"F04008470";"HORTAMAR S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"9";"10400074";"F04011375";"VICASOL, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"10";"10400146";"F04013462";"COHORSAN, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"11";"10400153";"F04026043";"S.A.T. LAS HORTICHUELAS";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"12";"10400157";"F04034831";"SAT INVER N 6015";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"13";"10400148";"F04043444";"S.A.T. FERVA / AL-0204";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"14";"10400019";"F04047783";"COPROHNIJAR S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"15";"10400163";"F04210399";"AGROIRIS SAT 9662";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"16";"10400060";"F04212403";"NATURSUR, S.COOP.AND.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"17";"10400147";"F04261210";"DUNAMAR SAT";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"18";"10400156";"F04307104";"API S.A.T. COSTADULCE";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"19";"10400015";"F04323960";"S.A.T.  COSTAEJIDO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"20";"10400159";"F04354981";"NATURE CHOICE S.A.T.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"21";"10400143";"F04532339";"MURGIVERDE SCA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"22";"10400161";"F04863759";"API A.F.E., S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"23";"12100242";"F05328257";"JUCAMP S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"24";"11100014";"F11004694";"AGRUP.DE PRODUCCION INTEG.EL AGRO";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"25";"11100076";"F11017936";"COOPERATIVA DEL CAMPO GUADIARO SCA";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
"26";"11100018";"F11479391";"CAMPO DE ROTA, S.C.A.";"Agrupaciones de Producción Integrada (APIs)";"ANDALUCÍA";26/12/2023;;
