"Código asociación";"NIF";"Razón social";"Detalle";"Autoridad competente";Fecha de alta;Fecha de modificación;Fecha de baja
"1";;"AGACAL- CENTRO DE INVESTIGACIONES AGRARIAS MABEGONDO";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"GALICIA";24/05/2023;;
"2";;"AGRUP.DEF.VEG.ALT MARESME";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CATALUÑA";24/05/2023;;
"3";;"APPACALE, S.A.";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CASTILLA Y LEÓN";24/05/2023;;
"4";"G25608803";"ASSOCIACIO SLOW FOOD TERRES DE LLEIDA";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CATALUÑA";24/05/2023;;
"5";;"AYUNTAMIENTO DE ONTINYENT";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"COMUNIDAD VALENCIANA";24/05/2023;;
"6";;"C.I.T.A. ARAGON";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"ARAGÓN";24/05/2023;;
"7";;"C.S.I.C. MISIÓN BIOLÓGICA DE GALICIA";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"GALICIA";24/05/2023;;
"8";;"CASTILLA-MANCHA (C.MEJORA EL CHAPARRILLO)";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CASTILLA-LA MANCHA";24/05/2023;;
"9";;"CENTRO DE CONSER. BIODIVERSIDAD AGRI.TENERIFE";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"ISLAS CANARIAS";24/05/2023;;
"10";;"CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS(CSIC)";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";;24/05/2023;;
"11";;"CONSELL COMARCAL DEL PALLARS SOBIRÀ";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CATALUÑA";24/05/2023;;
"12";;"CONSELLERIA DO MEDIO RURAL - XUNTA DE GALICIA";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"GALICIA";24/05/2023;;
"13";;"COOP. PRODUCTORES SEMILLAS DE ARROZ, SCL (COPSEMAR)";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"COMUNIDAD VALENCIANA";24/05/2023;;
"14";"G61850277";"ERA, ASSOCIACIO ESPAI DE RECURSOS AGROECOLÒGICS";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CATALUÑA";24/05/2023;;
"15";"G64732514";"FUNDACIO MIQUEL AGUSTI";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CATALUÑA";24/05/2023;;
"16";;"IMIDRA - CCAA MADRID";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"COMUNIDAD DE MADRID";24/05/2023;;
"17";;"INSTITUTO CANARIO DE INVESTIGACIONES AGRARIAS";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"ISLAS CANARIAS";24/05/2023;;
"18";;"INTIA, S.A. (antiguo I.T.G.A.)";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"NAVARRA";24/05/2023;;
"19";;"(IRFAP)INSTITUT DE RECERCA I FORMACIÓ AGRÀRIA I PESQUERA";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"ISLAS BALEARES";24/05/2023;;
"20";;"ITACYL (CASTILLA Y LEON)";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CASTILLA Y LEÓN";24/05/2023;;
"21";;"JOSE IGNACIO FELIPE NAVARRO";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";;24/05/2023;;
"22";"G66214503";"LA PANOTXA, ASSOCIACIÓ PEL FOMENT DE L’AGROECOLOGIA";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CATALUÑA";24/05/2023;;
"23";"F67310714";"LES REFARDES, SCCL";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CATALUÑA";24/05/2023;;
"24";;"NEIKER";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"PAÍS VASCO";24/05/2023;;
"25";"P5809506H";"PATRONAT DEL MUSEU DE GRANOLLERS";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CATALUÑA";24/05/2023;;
"26";;"RED CANARIA DE SEMILLAS";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"ISLAS CANARIAS";24/05/2023;;
"27";;"S.C.A. LA VERDE";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"ANDALUCÍA";24/05/2023;;
"28";;"SAT BARBAS 4890";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CANTABRIA";24/05/2023;;
"29";;"SEMILLEROS SALIPLANT, SL";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"ANDALUCÍA";24/05/2023;;
"30";"S3300003E ";"SERIDA";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"ASTURIAS";24/05/2023;;
"31";"P1700042C";"SIGMA, CONSORCI DE MEDI AMBIENT I SALUT PUBLICA";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CATALUÑA";24/05/2023;;
"32";;"ULE (Universidad de León) EIAF (Escuela de Ing. Agraria y Forestal)";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"CASTILLA Y LEÓN";24/05/2023;;
"33";;"UNIVERSIDAD POLITECNICA DE VALENCIA";"ENTIDADES ENCARGADAS CONSERVAR LAS VARIEDADES DE CONSERVACIÓN RVC";"COMUNIDAD VALENCIANA";24/05/2023;;
"34";"G57272122";"ASSOCIACIÓ DE VARIETATS LOCALS";"ASOCIACION";"ISLAS BALEARES";24/05/2023;;
"35";"G57262016";"AS. PROT. DE VAR. VEG. Y RAZAS GAN. AUTOC. CON PELIGRO DE E. GEN.";"ASOCIACION";"ISLAS BALEARES";24/05/2023;;
"36";"G57713232";"ASSOC CONSERVACIO I FOMENT DE VAR. TRADICIONALS DE LES ILLES PITIÜSES";"ASOCIACION";"ISLAS BALEARES";24/05/2023;;
"37";"F25843228";"ALBA JUSSA, SCCL";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"38";"G25797184";"ASSOC AGROC AMICS DE L'OBS DE VAR RIBAGORÇANES";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"39";"G66555988";"ASSOCIACIO AGROECOLOGICA DE CAN MERCADERET";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"40";"G55708721";"ASSOCIACIÓ ELS CORREMARGES";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"41";"G01631704";"ASSOCIACIÓ LA SAFRANÒRIA";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"43";"B25605536";"CELLER LAGRAVERA, SLU";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"44";"G66832981";"COL·LECTIU EIXARCOLANT";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"45";"Q0801453B";"CONSORCI DEL PARC DE L'ESPAI D'INTERÈS NATURAL DE GALLECS";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"46";"G17761685";"FUNDACIÓ EMYS D'ESTUDI I CONS. DE L'HERPETOFAUNA";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"48";"G63962625";"GRUP ASSOCIAT PER LA INVESTIGACIO ASSASSORAMENT I DIVULGACIO EN ENERGIES NETES I AGROECOLOGIA";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"49";"Q5855049B";"INSTITUT DE RECERCA I TECNOLOGIA AGROALIMENTÀRIES";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"53";"P7500010I";"PALLARS SOBIRÀ, CONSELL COMARCAL";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"56";"G02647790";"ARQUEOLOGIA AGRÀRIA";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"57";"G02786614";"ASSOCIACIÓ DE PRODUCTORS DE LA CONCA D'ÒDENA";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"58";"G09904186";"ASSOCIACIÓ DE VARIETATS LOCALS DE LA CERDANYA";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"59";"G09905019";"ESBOÏGA-ASSOC VARIETATS LOCALS DE L'ALT PIRINEU";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
"60";"G25707622";"ASSOC. DE PRODUCTORS D'OLI DEL PALLARS";"Conservación Variedades locales";"CATALUÑA";24/05/2023;;
