"Código SIEX";"NIF";"Razón social";"Especie";"Email";"Teléfono";"Detalle";"Autoridad competente"
"1";"G23670235";"ASOCIACIÓN ESPAÑOLA DE CRIADORES DE GALLINAS DE RAZA ANDALUZA AZUL";"Gallinas";"acgaape@gmail.com";"667565000";"Asociación de razas";"ANDALUCÍA"
"2";"G40240509";"AMIGOS DE LA GALLINA CASTELLANA NEGRA";"Gallinas";"joseluisyustos@gmail.com";"639 838 831";"Asociación de razas";"MAPA"
"3";"G72180730";"UNION DE CRIADORES DE GALLOS COMBATIENTE ESPAÑOL";"Gallinas";"ucriga@ucriga.es";"856132980 / 690652438";"Asociación de razas";"ANDALUCÍA"
"5";"G32278251";"ASOCIACIÓN DE AVICULTORES DA RAZA GALIÑA DE MOS";"Gallinas";"asociacion@avimos.org";"634548600";"Asociación de razas";"GALICIA"
"6";"G58306937";"ASSOCIACIÓ DE CRIADORS DE LA RAÇA PRAT";"Gallinas";;"934793845";"Asociación de razas";"CATALUÑA"
"7";"G22275580";"ASOCIACIÓN DE CRIADORES DE GALLINA DEL SOBRARBE";"Gallinas";"secretario@gallinadelsobrarbe.es";"687 410 350";"Asociación de razas";"ARAGÓN"
"8";"G57426345";"ASSOCIACIÓ DE CRIADORS DE GALLINA EIVISSENCA";"Gallinas";"tonizurdo@yahoo.es";"971197092";"Asociación de razas";"ILLES BALEARS"
"9";"G55233290";"ASSOCIACIÓ DE CRIADORS DE GALLINES DE RAÇA EMPORDANESA";"Gallinas";;;"Asociación de razas";"CATALUÑA"
"10";"G06590491";"ASOCIACIÓN DE CRIADORES DE GALLINA DE RAZA EXTREMEÑA AZUL";"Gallinas";"acgexa@gmail.com";"669100273";"Asociación de razas";"EXTREMADURA"
"11";"G57451577";"ASSOCIACIÓ DÁVICULTORS DE GALLINA MALLORQUINA";"Gallinas";"tfons@lagencia.cat";"617 40 29 97 / 637 82 28 56";"Asociación de razas";"ILLES BALEARS"
"12";"G57127219";"ASSOCIACIÓ GALLINES MENORQUINES";"Gallinas";"asogame@gmail.com";"971 38 47 45 // 649 33 97 65";"Asociación de razas";"ILLES BALEARS"
"13";"G30901920";"ASOCIACIÓN AMIGOS POR LA GALLINA MURCIANA (AGAMUR)";"Gallinas";"gerente@medivetnova.com";"tfno:  968325538";"Asociación de razas";"MURCIA"
"15";"G63198014";"ASSOCIACIÓ DE CRIADORS DE LA RAÇA DE GALLINES PENEDESENCA";"Gallinas";"acrgpenedesenca@gmail.com";"609314262";"Asociación de razas";"CATALUÑA"
"16";"G74082041";"ASOCIACIÓN DE CRIADORES DE PITA PINTA ASTURIANA";"Gallinas";"info@lapitapintaasturiana.com";"630664115";"Asociación de razas";"PRINCIPADO DE ASTURIAS"
"17";"G91880849";"ASOCIACION NACIONAL DE CRIADORES DE GALLINA UTRERANA";"Gallinas";"secretario.ejecutvo@ancgu.com";"673381293";"Asociación de razas";"ANDALUCÍA"
"18";"G97989685";"ASOCIACIÓN DE CRIADORES DE GALLINAS DE RAZA VALENCIANA DE CHULILLA";"Gallinas";"presidente@chulival.com";"669438445";"Asociación de razas";"COMUNITAT VALENCIANA"
"19";"G55051205";"ASSOCIACIÓ DE RAMADERS DE LA VACA DE L'ALBERA";"Bovinos";"marta@baussitges.com";"679166045 / 667496743";"Asociación de razas";"CATALUÑA"
