"Código";"Raza";"Especie";"Clasificación";"Grado de amenaza"
"10010";"ALBERA";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10020";"ALISTANA-SANABRESA";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10030";"ASTURIANA DE LA MONTAÑA";"Bovinos";"Raza Autóctona Amenazada";"Bajo"
"10040";"ASTURIANA DE LOS VALLES";"Bovinos";"Raza Autóctona";
"10050";"AVILEÑA-NEGRA IBÉRICA";"Bovinos";"Raza Autóctona Amenazada";"Bajo"
"10051";"AVILEÑA-NEGRA IBÉRICA (VARIEDAD BOCIBLANCA)";"Bovinos";"Raza Autóctona Amenazada";"Alto"
"10060";"BERRENDA EN COLORADO";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10070";"BERRENDA EN NEGRO";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10080";"BETIZU";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10090";"BLANCA CACEREÑA";"Bovinos";"Raza Autóctona Amenazada";"Alto"
"10100";"BLONDA DE AQUITANIA";"Bovinos";"Raza Integrada en España";
"10110";"BRUNA DELS PIRINEUS";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10120";"CACHENA";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10130";"CALDELÁ";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10140";"CANARIA";"Bovinos";"Raza Autóctona Amenazada";"Alto"
"10150";"CÁRDENA ANDALUZA";"Bovinos";"Raza Autóctona Amenazada";"Alto"
"10160";"CHAROLESA";"Bovinos";"Raza Integrada en España";
"10170";"FLECKVIEH";"Bovinos";"Raza Integrada en España";
"10180";"FRIEIRESA";"Bovinos";"Raza Autóctona Amenazada";"Alto"
"10190";"FRISONA";"Bovinos";"Raza Integrada en España";
"10200";"LIDIA";"Bovinos";"Raza Autóctona";
"10210";"LIMIÁ";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10220";"LIMUSINA";"Bovinos";"Raza Integrada en España";
"10230";"MALLORQUINA";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10240";"MARISMEÑA";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10250";"MENORQUINA";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10260";"MONCHINA";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10270";"MORUCHA";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10271";"MORUCHA (VARIEDAD NEGRA)";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10280";"MURCIANA-LEVANTINA";"Bovinos";"Raza Autóctona Amenazada";"Alto"
"10290";"NEGRA ANDALUZA";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10300";"PAJUNA";"Bovinos";"Raza Autóctona Amenazada";"Alto"
"10310";"PALLARESA";"Bovinos";"Raza Autóctona Amenazada";"Alto"
"10320";"PALMERA";"Bovinos";"Raza Autóctona Amenazada";"Medio"
"10330";"PARDA";"Bovinos";"Raza Integrada en España";
"10340";"PARDA DE MONTAÑA";"Bovinos";"Raza Autóctona Amenazada";"Bajo"
"10350";"PASIEGA";"Bovinos";"Raza Autóctona Amenazada";"Alto"
"10360";"PIRENAICA";"Bovinos";"Raza Autóctona";
"10370";"RETINTA";"Bovinos";"Raza Autóctona Amenazada";"Bajo"
"10380";"RUBIA GALLEGA";"Bovinos";"Raza Autóctona";
