"Código clasificación zootécnica";"Clasificación zootécnica";"Código especie";"Especie"
"42";"Centros de cuarentena";"01";"Bovinos"
"58";"Usuario";"01";"Bovinos"
"59";"Clínicas, sanatorios, hospitales o centros veterinarios";"01";"Bovinos"
"60";"Circos";"01";"Bovinos"
"67";"Granjas escuela";"01";"Bovinos"
"70";"Parque Zoológico";"01";"Bovinos"
"73";"Colecciones particulares";"01";"Bovinos"
"75";"Centros de recogida de animales abandonados o perdidos";"01";"Bovinos"
"77";"Establecimientos de confinamiento ";"01";"Bovinos"
"94";"Tratantes para cebo o sacrificio";"01";"Bovinos"
"99";"Otras";"01";"Bovinos"
"42";"Centros de cuarentena";"02";"Cerdos"
"58";"Usuario";"02";"Cerdos"
"59";"Clínicas, sanatorios, hospitales o centros veterinarios";"02";"Cerdos"
"60";"Circos";"02";"Cerdos"
"67";"Granjas escuela";"02";"Cerdos"
"70";"Parque Zoológico";"02";"Cerdos"
"73";"Colecciones particulares";"02";"Cerdos"
"75";"Centros de recogida de animales abandonados o perdidos";"02";"Cerdos"
"77";"Establecimientos de confinamiento ";"02";"Cerdos"
"86";"Centros de recogida de semen";"02";"Cerdos"
"99";"Otras";"02";"Cerdos"
"42";"Centros de cuarentena";"03";"Ovinos"
"58";"Usuario";"03";"Ovinos"
"59";"Clínicas, sanatorios, hospitales o centros veterinarios";"03";"Ovinos"
"60";"Circos";"03";"Ovinos"
"67";"Granjas escuela";"03";"Ovinos"
"70";"Parque Zoológico";"03";"Ovinos"
"73";"Colecciones particulares";"03";"Ovinos"
"75";"Centros de recogida de animales abandonados o perdidos";"03";"Ovinos"
"77";"Establecimientos de confinamiento ";"03";"Ovinos"
"42";"Centros de cuarentena";"04";"Caprinos"
"58";"Usuario";"04";"Caprinos"
"59";"Clínicas, sanatorios, hospitales o centros veterinarios";"04";"Caprinos"
"60";"Circos";"04";"Caprinos"
"67";"Granjas escuela";"04";"Caprinos"
"70";"Parque Zoológico";"04";"Caprinos"
"73";"Colecciones particulares";"04";"Caprinos"
"75";"Centros de recogida de animales abandonados o perdidos";"04";"Caprinos"
"77";"Establecimientos de confinamiento ";"04";"Caprinos"
"17";"Establecimientos para la práctica ecuestre";"05";"Équidos"
"18";"Sin ánimo de lucro";"05";"Équidos"
"41";"Uso particular";"05";"Équidos"
"42";"Centros de cuarentena";"05";"Équidos"
"53";"Explotaciones no comerciales";"05";"Équidos"
"55";"Depósitos o paradas de sementales equinos y centros de reproducción";"05";"Équidos"
"58";"Usuario";"05";"Équidos"
"59";"Clínicas, sanatorios, hospitales o centros veterinarios";"05";"Équidos"
"60";"Circos";"05";"Équidos"
"67";"Granjas escuela";"05";"Équidos"
"70";"Parque Zoológico";"05";"Équidos"
"73";"Colecciones particulares";"05";"Équidos"
"75";"Centros de recogida de animales abandonados o perdidos";"05";"Équidos"
"77";"Establecimientos de confinamiento ";"05";"Équidos"
"58";"Usuario";"06";"Gallinas"
"59";"Clínicas, sanatorios, hospitales o centros veterinarios";"06";"Gallinas"
"60";"Circos";"06";"Gallinas"
"67";"Granjas escuela";"06";"Gallinas"
"70";"Parque Zoológico";"06";"Gallinas"
"73";"Colecciones particulares";"06";"Gallinas"
"75";"Centros de recogida de animales abandonados o perdidos";"06";"Gallinas"
"77";"Establecimientos de confinamiento ";"06";"Gallinas"
"58";"Usuario";"07";"Pavos"
"59";"Clínicas, sanatorios, hospitales o centros veterinarios";"07";"Pavos"
"60";"Circos";"07";"Pavos"
"67";"Granjas escuela";"07";"Pavos"
