"Código CPE";"Categoría del CPE";"Comunidad Autónoma";"CPE";"Unidades de medida"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Autónoma de Andalucía";"750.68";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Autónoma de Aragón";"845.73";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Principado de Asturias";"856.69";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Autónoma de Illes Balears";"436.77";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Autónoma de Canarias";"856.69";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Autónoma de Cantabria";"604.71";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Autónoma de Castilla y León";"859.42";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Autónoma de Castilla-La Mancha";"748.68";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Autónoma de Cataluña";"1043.58";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Valenciana";"581.48";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Autónoma de Extremadura";"761.26";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Autónoma de Galicia";"670.99";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad de Madrid";"694.71";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Región de Murcia";"487.55";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Foral de Navarra";"1173.89";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Autónoma del País Vasco";"1473.31";"€/ha"
"SOC_CLND004";"Trigo blando y escanda";"Comunidad Autónoma de La Rioja";"1182.76";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Autónoma de Andalucía";"896.99";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Autónoma de Aragón";"826.5";"€/ha"
"SOC_CLND005";"Trigo duro";"Principado de Asturias";"884.83";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Autónoma de Illes Balears";"884.83";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Autónoma de Canarias";"884.83";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Autónoma de Cantabria";"884.83";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Autónoma de Castilla y León";"1260.01";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Autónoma de Castilla-La Mancha";"1150.53";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Autónoma de Cataluña";"1110.28";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Valenciana";"831.11";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Autónoma de Extremadura";"896.43";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Autónoma de Galicia";"884.83";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad de Madrid";"986.22";"€/ha"
"SOC_CLND005";"Trigo duro";"Región de Murcia";"472.34";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Foral de Navarra";"980.22";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Autónoma del País Vasco";"884.83";"€/ha"
"SOC_CLND005";"Trigo duro";"Comunidad Autónoma de La Rioja";"1564.22";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Autónoma de Andalucía";"481.82";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Autónoma de Aragón";"430.42";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Principado de Asturias";"481.82";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Autónoma de Illes Balears";"481.82";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Autónoma de Canarias";"481.82";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Autónoma de Cantabria";"481.82";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Autónoma de Castilla y León";"496.75";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Autónoma de Castilla-La Mancha";"361.46";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Autónoma de Cataluña";"649.73";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Valenciana";"250";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Autónoma de Extremadura";"481.82";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Autónoma de Galicia";"481.82";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad de Madrid";"330.37";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Región de Murcia";"481.82";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Foral de Navarra";"537.95";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Autónoma del País Vasco";"885.72";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"Comunidad Autónoma de La Rioja";"743.5";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Autónoma de Andalucía";"496.75";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Autónoma de Aragón";"754.34";"€/ha"
"SOC_CLND007";"Cebada";"Principado de Asturias";"724.72";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Autónoma de Illes Balears";"367.14";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Autónoma de Canarias";"724.72";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Autónoma de Cantabria";"724.72";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Autónoma de Castilla y León";"770.23";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Autónoma de Castilla-La Mancha";"651.19";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Autónoma de Cataluña";"914.03";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Valenciana";"495.44";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Autónoma de Extremadura";"661.13";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Autónoma de Galicia";"483.27";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad de Madrid";"596.29";"€/ha"
"SOC_CLND007";"Cebada";"Región de Murcia";"504.13";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Foral de Navarra";"899.2";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Autónoma del País Vasco";"1265.08";"€/ha"
"SOC_CLND007";"Cebada";"Comunidad Autónoma de La Rioja";"1071.33";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Autónoma de Andalucía";"404.17";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Autónoma de Aragón";"385.92";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Principado de Asturias";"457.93";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Autónoma de Illes Balears";"156.48";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Autónoma de Canarias";"457.93";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Autónoma de Cantabria";"457.93";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Autónoma de Castilla y León";"558.08";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Autónoma de Castilla-La Mancha";"440.34";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Autónoma de Cataluña";"643.36";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Valenciana";"448.38";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Autónoma de Extremadura";"441.26";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Autónoma de Galicia";"457.82";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad de Madrid";"388.85";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Región de Murcia";"359.66";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Foral de Navarra";"895.78";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Autónoma del País Vasco";"1078.43";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"Comunidad Autónoma de La Rioja";"877.86";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Autónoma de Andalucía";"2744.18";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Autónoma de Aragón";"2796.19";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Principado de Asturias";"2726.86";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Autónoma de Illes Balears";"1380.12";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Autónoma de Canarias";"2726.86";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Autónoma de Cantabria";"2726.86";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Autónoma de Castilla y León";"2862.54";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Autónoma de Castilla-La Mancha";"2898.94";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Autónoma de Cataluña";"2322.93";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Valenciana";"2291.21";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Autónoma de Extremadura";"3059.75";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Autónoma de Galicia";"2726.86";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad de Madrid";"2707.74";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Región de Murcia";"2726.86";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Foral de Navarra";"2549.47";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Autónoma del País Vasco";"2726.86";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"Comunidad Autónoma de La Rioja";"2709.69";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Autónoma de Andalucía";"622.12";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Autónoma de Aragón";"512.91";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Principado de Asturias";"596";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Autónoma de Illes Balears";"317.15";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Autónoma de Canarias";"508.06";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Autónoma de Cantabria";"609.55";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Autónoma de Castilla y León";"659.4";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Autónoma de Castilla-La Mancha";"540.46";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Autónoma de Cataluña";"965.29";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Valenciana";"524.15";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Autónoma de Extremadura";"607.7";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Autónoma de Galicia";"604.53";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad de Madrid";"564.42";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Región de Murcia";"442.15";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Foral de Navarra";"607.61";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Autónoma del País Vasco";"604.53";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"Comunidad Autónoma de La Rioja";"1053.68";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad Autónoma de Andalucía";"2952.76";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad Autónoma de Aragón";"2578.73";"€/ha"
"SOC_CLND013";"Arroz";"Principado de Asturias";"2535.36";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad Autónoma de Illes Balears";"3213.98";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad Autónoma de Canarias";"2535.36";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad Autónoma de Cantabria";"2535.36";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad Autónoma de Castilla y León";"2535.36";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad Autónoma de Castilla-La Mancha";"2027.71";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad Autónoma de Cataluña";"2298.35";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad Valenciana";"2524.78";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad Autónoma de Extremadura";"2454.21";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad Autónoma de Galicia";"2535.36";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad de Madrid";"2535.36";"€/ha"
"SOC_CLND013";"Arroz";"Región de Murcia";"1863.61";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad Foral de Navarra";"2188.7";"€/ha"
"SOC_CLND013";"Arroz";"Comunidad Autónoma del País Vasco";"2535.36";"€/ha"
