"Código SIEX";"Código asociación (NIF)";"Razón social";"Provincia";"Comunidad Autónoma";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"F01005784";"Nª Sª De Ocon S. Coop. ";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"2";"F01006675";"Bod. San Roque S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"3";"F01007194";"Bod. Unión De Cosecheros De Labastida S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"4";"F01008689";"Anoga S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"5";"F01009323";"Lagunak S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"6";"F01014869";"Bod. Nª Sª Del Campo S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"7";"F01015957";"Bod. San Tirso S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"8";"F01020270";"Bod. San Sixto S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"9";"F01021096";"Bod. Comy S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"10";"F01024306";"Lacorzanilla S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"11";"F01024314";"Lantaron S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"12";"F01024470";"Behi Alde S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"13";"F01027523";"Arbel Kooperatiba";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"14";"F01031277";"Aga S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"15";"F01033125";"Cocefor S. Coop. ";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"16";"F01035278";"Garlan S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"17";"F01036185";"Agurain S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"18";"F01036748";"Valdegobia-Añana S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"19";"F01039023";"Artzai-Gazta S. Coop";"Gipuzkoa";"PAÍS VASCO";26/12/2023;;
"20";"F01049105";"Bod. Vinícola Lapuebla De Labarca S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"21";"F01052463";"Riberalta S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"22";"F01131978";"Udapa. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"23";"F01160449";"Cuma Valles Alaveses S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"24";"F01168376";"Trujal La Equidad S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"25";"F01248996";"Cuma La Llanada S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"26";"F01265966";"Cuma Dulantzi S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"27";"F01268028";"Cuma Albina S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"28";"F01294131";"Asoloste S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"29";"F01322387";"Ceca Txulato S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"30";"F01359785";"Corporación Ovo 12 S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"31";"F01386937";"Cuma Pinta Entresierras S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"32";"F01491448";"Cuma Gorbeia S. Coop.";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"33";"F01520139";"Abere S. Coop";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"34";"F01534718";"Procesados de Patata Paturpat S. Coop";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"35";"F01537331";"Ekotarriko S. Coop. Pequeña";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"36";"F01551779";"Armendekia S. Coop. Pequeña";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"37";"F01556042";"Azkorra S. Coop. Pequeña";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"38";"F01607951";"SCA SAN LORENZO";"Huelva";"ANDALUCÍA";26/12/2023;;
"39";"F01664200";"Frutas de l'Urgell, SCCL";"Lleida";"CATALUÑA";26/12/2023;;
"40";"F01720655";"SCDAD. COOP. AGRARIA BESSONER";"Balears, Illes";"ISLAS BALEARES";26/12/2023;;
"41";"F02003200";"Cooperativa del Campo Santa Mónica S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"42";"F02003218";" ""La Unión"" AB S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"43";"F02003267";"Agraria Santa Quiteria S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"44";"F02003275";"Bodegas San Gregorio Magno S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"45";"F02003283";"Agraria San Isidro de Madrigueras S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"46";"F02003333";"Nuestra Señora de Turruchel S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"47";"F02003341";"San Miguel de Abengibre S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"48";"F02003358";"San Isidro S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"49";"F02003374";"Nuestra Señora de la Cabeza S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"50";"F02003390";"Vitivinícola Santiago el Mayor S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"51";"F02003457";"Bodegas San Dionisio S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"52";"F02003473";"San Isidro S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"53";"F02004091";"Agraria del Campo San Isidro S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"54";"F02004109";"Comarcal Sierra del Segura S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"55";"F02004117";"San Isidro Labrador S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"56";"F02004125";"Nuestra Señora de las Cubas S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
