"Código CPE";"Categoría del CPE";"CEE";"Unidades de medida"
"SOC_CLND004";"Trigo blando y escanda";"CLND004";"€/ha"
"SOC_CLND005";"Trigo duro";"CLND005";"€/ha"
"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)";"CLND006";"€/ha"
"SOC_CLND007";"Cebada";"CLND007";"€/ha"
"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)";"CLND008";"€/ha"
"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz";"CLND009";"€/ha"
"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)";"CLND010_011_012";"€/ha"
"SOC_CLND013";"Arroz";"CLND013";"€/ha"
"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)";"CLND014";"€/ha"
"SOC_CLND015";"Guisantes, habas y altramuces dulces";"CLND015";"€/ha"
"SOC_CLND017";"Patatas (incluidas las patatas de siembra)";"CLND017";"€/ha"
"SOC_CLND018";"Remolacha azucarera (excepto semillas)";"CLND018";"€/ha"
"SOC_CLND019";"Otros cultivos de raíces n.c.o.p.";"CLND019";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"CLND022";"€/ha"
"SOC_CLND023";"Semillas de girasol";"CLND023";"€/ha"
"SOC_CLND024";"Soja";"CLND024";"€/ha"
"SOC_CLND025";"Lino oleaginoso (linaza)";"CLND025";"€/ha"
"SOC_CLND026";"Otros cultivos de semillas oleaginosas n.c.o.p.";"CLND026";"€/ha"
"SOC_CLND028";"Lino textil";"CLND028";"€/ha"
"SOC_CLND029";"Cáñamo";"CLND029";"€/ha"
"SOC_CLND030";"Algodón";"CLND030";"€/ha"
"SOC_CLND031";"Otros cultivos fibrosos n.c.o.p.";"CLND031";"€/ha"
"SOC_CLND032";"Tabaco";"CLND032";"€/ha"
"SOC_CLND033";"Lúpulo";"CLND033";"€/ha"
"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias";"CLND034";"€/ha"
"SOC_CLND035_036";"Cultivos energéticos y otros cultivos industriales n.c.o.p.";"CLND035_036";"€/ha"
"SOC_CLND037";"Cultivos cosechados en verde en tierras arables";"CLND037";"€/ha"
"SOC_CLND038";"Pastos y prados temporales";"CLND038";"€/ha"
"SOC_CLND039";"Leguminosas cosechadas en verde";"CLND039";"€/ha"
"SOC_CLND040";"Maíz forrajero";"CLND040";"€/ha"
"SOC_CLND041_042";"Otros cultivos y cereales (excepto maíz) cosechados en verde n.c.o.p.";"CLND041_042";"€/ha"
"SOC_CLND043";"Hortalizas frescas (incluidos melones) y fresas - Producidas al aire libre";"CLND043";"€/ha"
