"CONDICIÓN 1 (C1)";"CONDICIÓN 2 (C2)";"CONDICIÓN 3 (C3)";"OTE Particular";"Descripción OTE Particular"
"P1 > 2/3 PET";"P15 + P16 + CLND014 > 2/3 PET";"P151 + P16 + CLND014 > 2/3 PET";"151";"Explotaciones especializadas en el cultivo de cereales (distintos del arroz), semillas oleaginosas y proteaginosas"
"P1 > 2/3 PET";"P15 + P16 + CLND014 > 2/3 PET";"CLND013 > 2/3 PET";"152";"Explotaciones especializadas en arroz"
"P1 > 2/3 PET";"P15 + P16 + CLND014 > 2/3 PET";;"153";"Explotaciones que combinen cereales, semillas oleaginosas, proteaginosas y arroz"
"P1 > 2/3 PET";"P15 + P16 + CLND014 <= 2/3 PET";"P17 > 2/3 PET";"161";"Explotaciones especializadas en el cultivo de raíces y tubérculos"
"P1 > 2/3 PET";"P15 + P16 + CLND014 <= 2/3 PET";"P15 + P16 + CLND014 > 1/3 PET; P17 > 1/3 PET";"162";"Explotaciones que combinen cereales, oleaginosas, proteaginosas y raíces y tubérculos"
"P1 > 2/3 PET";"P15 + P16 + CLND014 <= 2/3 PET";"CLND045 > 2/3 PET";"163";"Explotaciones especializadas en el cultivo de hortalizas producidas al aire libre"
"P1 > 2/3 PET";"P15 + P16 + CLND014 <= 2/3 PET";"CLND032 > 2/3 PET";"164";"Explotaciones especializadas en el cultivo de tabaco"
"P1 > 2/3 PET";"P15 + P16 + CLND014 <= 2/3 PET";"CLND030 > 2/3 PET";"165";"Explotaciones especializadas en el cultivo de algodón"
"P1 > 2/3 PET";"P15 + P16 + CLND014 <= 2/3 PET";;"166";"Explotaciones que combinen varios grandes cultivos"
"P2 > 2/3 PET";"CLND081 + CLND082 > 2/3 PET";"CLND081 > 2/3 PET";"211";"Explotaciones especializadas en hortalizas en invernadero"
"P2 > 2/3 PET";"CLND081 + CLND082 > 2/3 PET";"CLND082 > 2/3 PET";"212";"Explotaciones especializadas en floricultura y plantas ornamentales en invernadero"
"P2 > 2/3 PET";"CLND081 + CLND082 > 2/3 PET";;"213";"Explotaciones especializadas en policultivo hortícola en invernadero"
"P2 > 2/3 PET";"CLND044 + CLND046 > 2/3 PET";"CLND044 > 2/3 PET";"221";"Explotaciones especializadas en hortalizas al aire libre"
"P2 > 2/3 PET";"CLND044 + CLND046 > 2/3 PET";"CLND046 > 2/3 PET";"222";"Explotaciones especializadas en floricultura y plantas ornamentales al aire libre"
"P2 > 2/3 PET";"CLND044 + CLND046 > 2/3 PET";;"223";"Explotaciones especializadas en policultivo hortícola al aire libre"
"P2 > 2/3 PET";"CLND044 + CLND046 <= 2/3 PET; CLND081 + CLND082 <= 2/3 PET";"CLND079 > 2/3 PET";"231";"Explotaciones especializadas en el cultivo de setas"
"P2 > 2/3 PET";"CLND044 + CLND046 <= 2/3 PET; CLND081 + CLND082 <= 2/3 PET";"CLND070 > 2/3 PET";"232";"Explotaciones especializadas en viveros"
"P2 > 2/3 PET";"CLND044 + CLND046 <= 2/3 PET; CLND081 + CLND082 <= 2/3 PET";;"233";"Horticultura diversa"
"P3 > 2/3 PET";"CLND062 + CLND064 + CLND065 + CLND066 + CLND067 + CLND068 > 2/3 PET";"CLND064 + CLND065 > 2/3 PET";"351";"Explotaciones vinícolas especializadas en vinos de calidad"
"P3 > 2/3 PET";"CLND062 + CLND064 + CLND065 + CLND066 + CLND067 + CLND068 > 2/3 PET";"CLND066 > 2/3 PET";"352";"Explotaciones vinícolas especializadas en vinos distintos de los vinos de calidad"
"P3 > 2/3 PET";"CLND062 + CLND064 + CLND065 + CLND066 + CLND067 + CLND068 > 2/3 PET";"CLND067 > 2/3 PET";"353";"Explotaciones especializadas en uva de mesa"
"P3 > 2/3 PET";"CLND062 + CLND064 + CLND065 + CLND066 + CLND067 + CLND068 > 2/3 PET";;"354";"Otros viñedos"
"P3 > 2/3 PET";"CLND056 + CLND057 + CLND058 + CLND059 + CLND060 + CLND061 > 2/3 PET";"CLND056 + CLND057 + CLND059 > 2/3 PET";"361";"Explotaciones frutícolas especializadas (distintos de los cítricos, las frutas tropicales y subtropicales y los frutos de cáscara)"
"P3 > 2/3 PET";"CLND056 + CLND057 + CLND058 + CLND059 + CLND060 + CLND061 > 2/3 PET";"CLND061 > 2/3 PET";"362";"Explotaciones especializadas en cítricos"
"P3 > 2/3 PET";"CLND056 + CLND057 + CLND058 + CLND059 + CLND060 + CLND061 > 2/3 PET";"CLND060 > 2/3 PET";"363";"Explotaciones especializadas en frutos de cáscara"
"P3 > 2/3 PET";"CLND056 + CLND057 + CLND058 + CLND059 + CLND060 + CLND061 > 2/3 PET";"CLND058 > 2/3 PET";"364";"Explotaciones especializadas en frutas tropicales y subtropicales"
"P3 > 2/3 PET";"CLND056 + CLND057 + CLND058 + CLND059 + CLND060 + CLND061 > 2/3 PET";;"365";"Explotaciones frutícolas especializadas en cítricos, frutas tropicales y subtropicales y frutos de cáscara: producción mixta"
"P3 > 2/3 PET";"CLND069 > 2/3 PET";;"370";"Explotaciones especializadas en aceitunas"
"P3 > 2/3 PET";;;"380";"Explotaciones que combinen varios cultivos permanentes"
"P4 > 2/3 PET";"CLVS009 + CLVS011 > 3/4 GL; GL > 1/10 P4";;"450";"Explotaciones de bovinos especializadas en la producción de leche"
