"Código cultivo SIEX";"Cultivo SIEX";"Código CPE 1";"Categoría del CPE 1";"Código CPE 2";"Categoría del CPE 2"
"120";"VIÑA - OLIVAR";"SOC_CLND062";"Uvas";"SOC_CLND069";"Aceitunas"
"348";"VIÑA - FRUTAL";"SOC_CLND062";"Uvas";"SOC_CLND056";"Frutas de pepita"
"349";"OLIVAR - FRUTAL";"SOC_CLND069";"Aceitunas";"SOC_CLND056";"Frutas de pepita"
"351";"CÍTRICOS HÍBRIDOS-CAQUI";"SOC_CLND061";"Cítricos";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"352";"NARANJO-AGUACATE";"SOC_CLND061";"Cítricos";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"353";"CEREZO-OLIVAR";"SOC_CLND057";"Frutas de hueso";"SOC_CLND069";"Aceitunas"
"354";"CEREZO-ALGARROBO";"SOC_CLND057";"Frutas de hueso";"SOC_CLND060";"Frutos de cáscara"
"494";"VIÑA - HUERTA";"SOC_CLND062";"Uvas";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"495";"FRUTAL - HUERTA";"SOC_CLND056";"Frutas de pepita";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"939";"ALMENDRO-OLIVAR";"SOC_CLND060";"Frutos de cáscara";"SOC_CLND069";"Aceitunas"
"940";"NARANJO-CAQUI";"SOC_CLND061";"Cítricos";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"941";"NARANJO-MANDARINO";"SOC_CLND061";"Cítricos";"SOC_CLND061";"Cítricos"
"942";"NÍSPERO-CAQUI";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"948";"CLEMENTINA-CAQUI";"SOC_CLND061";"Cítricos";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"949";"SATSUMA-CAQUI";"SOC_CLND061";"Cítricos";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"1001";"MANDARINO-AGUACATE";"SOC_CLND061";"Cítricos";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"1002";"ALGARROBO-OLIVAR";"SOC_CLND060";"Frutos de cáscara";"SOC_CLND069";"Aceitunas"
