"Código cultivo SIEX";"Cultivo SIEX";"Código CPE";"Categoría del CPE";"Código destino";"Destino";"Código CPE Destino";"Categoría del CPE Destino"
"82";"REMOLACHA";;;"1";"Consumo humano en fresco";"SOC_CLND045";"Hortalizas frescas (incluidos melones) y fresas - Producidas al aire libre"
"82";"REMOLACHA";;;;;"SOC_CLND018";"Remolacha azucarera (excepto semillas)"
"85";"LINO";;;"17";"Fibra";"SOC_CLND028";"Lino textil"
"85";"LINO";;;;;"SOC_CLND025";"Lino oleaginoso (linaza)"
"86";"CÁÑAMO";;;"17";"Fibra";"SOC_CLND031";"Otros cultivos fibrosos n.c.o.p."
"86";"CÁÑAMO";;;;;"SOC_CLND029";"Cáñamo"
"102";"VIÑA";;;"1";"Consumo humano en fresco";"SOC_CLND067";"Uvas de mesa"
"102";"VIÑA";;;"22";"Vinificación";"SOC_CLND063";"Uvas de vinificación"
"102";"VIÑA";;;"23";"Otro procesamiento industrial";"SOC_CLND068";"Uvas para pasas"
"102";"VIÑA";;;;;"SOC_CLND062";"Uvas"
"152";"PIMIENTO";;;"16";"Pimentón";"SOC_CLND035_036";"Cultivos energéticos y otros cultivos industriales n.c.o.p."
"152";"PIMIENTO";;;;;"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"197";"TOMATE";;;"23";"Otro procesamiento industrial";"SOC_CLND045";"Hortalizas frescas (incluidos melones) y fresas - Producidas al aire libre"
"197";"TOMATE";;;;;"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
;;"SOC_CLND062";"Uvas";"1";"Consumo humano en fresco";"SOC_CLND067";"Uvas de mesa"
;;"SOC_CLND062";"Uvas";"22";"Vinificación";"SOC_CLND063";"Uvas de vinificación"
;;"SOC_CLND062";"Uvas";"23";"Otro procesamiento industrial";"SOC_CLND068";"Uvas para pasas"
;;"SOC_CLND062";"Uvas";;;"SOC_CLND062";"Uvas"
