"Código cultivo SIEX";"Cultivo SIEX";"Asociación de cultivos";"Código CPE";"Categoría del CPE"
"1";"TRIGO BLANDO";"NO";"SOC_CLND004";"Trigo blando y escanda"
"2";"ESPELTA";"NO";"SOC_CLND004";"Trigo blando y escanda"
"3";"TRIGO DURO";"NO";"SOC_CLND005";"Trigo duro"
"4";"MAÍZ";"NO";"SOC_CLND009";"Maíz en grano y mezcla de mazorca de maíz"
"5";"CEBADA";"NO";"SOC_CLND007";"Cebada"
"6";"CENTENO";"NO";"SOC_CLND006";"Centeno y mezclas de cereales de invierno (tranquillón)"
"7";"SORGO";"NO";"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)"
"8";"AVENA";"NO";"SOC_CLND008";"Avena y mezclas de cereales de primavera (mezcla de cereales distintos del tranquillón)"
"9";"ALFORFÓN";"NO";"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)"
"10";"MIJO";"NO";"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)"
"11";"ALPISTE";"NO";"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)"
"12";"TRANQUILLÓN";"NO";"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)"
"13";"TRITICALE";"NO";"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)"
"14";"TRITORDEUM";"NO";"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)"
"19";"TEFF";"NO";"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)"
"20";"BARBECHO TRADICIONAL";"NO";"SOC_CLND049";"Barbecho"
"23";"BARBECHO MEDIOAMBIENTAL";"NO";"SOC_CLND049";"Barbecho"
"33";"GIRASOL";"NO";"SOC_CLND023";"Semillas de girasol"
"34";"SOJA";"NO";"SOC_CLND024";"Soja"
"35";"COLZA";"NO";"SOC_CLND022";"Semillas de colza y nabina"
"36";"CAMELINA";"NO";"SOC_CLND026";"Otros cultivos de semillas oleaginosas n.c.o.p."
"40";"GUISANTE";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"41";"HABA";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"43";"ALTRAMUZ BLANCO";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"49";"ALUBIA";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"50";"GARBANZO";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"51";"LENTEJA";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"52";"VEZA";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"53";"YEROS";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"60";"ALFALFA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"61";"ALHOLVA";"NO";"SOC_CLND039";"Leguminosas cosechadas en verde"
"62";"PASTOS PERMANENTES DE 5 O MÁS AÑOS";"NO";"SOC_CLND051";"Prados permanentes y pastos, excepto los pastos pobres"
"63";"PASTOS DE MENOS DE 5 AÑOS";"NO";"SOC_CLND038";"Pastos y prados temporales"
"67";"ESPARCETA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"68";"FESTUCA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"69";"RAYGRASS PERENNE";"NO";"SOC_CLND038";"Pastos y prados temporales"
"70";"AGROSTIS";"NO";"SOC_CLND038";"Pastos y prados temporales"
"71";"ARRHENATHERUM";"NO";"SOC_CLND038";"Pastos y prados temporales"
"72";"DACTILO";"NO";"SOC_CLND038";"Pastos y prados temporales"
"73";"FLEO";"NO";"SOC_CLND038";"Pastos y prados temporales"
"74";"POA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"76";"ZULLA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"77";"TRÉBOL";"NO";"SOC_CLND038";"Pastos y prados temporales"
"78";"RAYGRASS ANUAL";"NO";"SOC_CLND038";"Pastos y prados temporales"
"80";"ARROZ";"NO";"SOC_CLND013";"Arroz"
"81";"ALGODÓN";"NO";"SOC_CLND030";"Algodón"
"82";"REMOLACHA";"NO";"SOC_CLND018";"Remolacha azucarera (excepto semillas)"
"83";"TABACO";"NO";"SOC_CLND032";"Tabaco"
"84";"LÚPULO";"NO";"SOC_CLND033";"Lúpulo"
"85";"LINO";"NO";"SOC_CLND025";"Lino oleaginoso (linaza)"
"86";"CÁÑAMO";"NO";"SOC_CLND029";"Cáñamo"
"87";"CACAHUETE";"NO";"SOC_CLND026";"Otros cultivos de semillas oleaginosas n.c.o.p."
"88";"CÁRTAMO";"NO";"SOC_CLND026";"Otros cultivos de semillas oleaginosas n.c.o.p."
"89";"CHUFA";"NO";"SOC_CLND026";"Otros cultivos de semillas oleaginosas n.c.o.p."
"90";"REGALIZ";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"91";"FLORES";"NO";"SOC_CLND046";"Flores y plantas ornamentales (excepto viveros) - Producidas al aire libre"
"92";"ROMANESCU";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"96";"ESPECIES AROMÁTICAS HERBÁCEAS";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"97";"SETAS";"NO";"SOC_CLND079";"Setas cultivadas"
"99";"PATATA";"NO";"SOC_CLND017";"Patatas (incluidas las patatas de siembra)"
"101";"OLIVO";"NO";"SOC_CLND069";"Aceitunas"
"102";"VIÑA";"NO";"SOC_CLND062";"Uvas"
"104";"ALMENDRO";"NO";"SOC_CLND060";"Frutos de cáscara"
"105";"MELOCOTONERO";"NO";"SOC_CLND057";"Frutas de hueso"
"106";"NECTARINO";"NO";"SOC_CLND057";"Frutas de hueso"
"107";"ALBARICOQUERO";"NO";"SOC_CLND057";"Frutas de hueso"
"108";"PERAL";"NO";"SOC_CLND056";"Frutas de pepita"
"109";"MANZANO";"NO";"SOC_CLND056";"Frutas de pepita"
"110";"CEREZO";"NO";"SOC_CLND057";"Frutas de hueso"
"111";"CIRUELO";"NO";"SOC_CLND057";"Frutas de hueso"
"112";"NOGAL";"NO";"SOC_CLND060";"Frutos de cáscara"
"113";"OTROS FRUTALES";"NO";"SOC_CLND056";"Frutas de pepita"
"117";"CASTAÑO";"NO";"SOC_CLND060";"Frutos de cáscara"
"118";"ESPECIES AROMÁTICAS LEÑOSAS";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"119";"VIVERO - PRODUCTOR MVR";"NO";"SOC_CLND070";"Viveros"
"120";"VIÑA - OLIVAR";"SI";"SOC_CLND062";"Uvas"
"120";"VIÑA - OLIVAR";"SI";"SOC_CLND069";"Aceitunas"
"121";"BONIATO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"122";"ALGARROBO";"NO";"SOC_CLND060";"Frutos de cáscara"
"123";"AVELLANO";"NO";"SOC_CLND060";"Frutos de cáscara"
"124";"PISTACHO";"NO";"SOC_CLND060";"Frutos de cáscara"
"125";"FRUTOS DE CÁSCARA";"NO";"SOC_CLND060";"Frutos de cáscara"
"138";"ADORMIDERA";"NO";"SOC_CLND026";"Otros cultivos de semillas oleaginosas n.c.o.p."
"139";"HIERBA CINTA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"140";"ABACA ALIAS MANILA";"NO";"SOC_CLND031";"Otros cultivos fibrosos n.c.o.p."
"141";"KENAF";"NO";"SOC_CLND031";"Otros cultivos fibrosos n.c.o.p."
"142";"YUTE";"NO";"SOC_CLND031";"Otros cultivos fibrosos n.c.o.p."
"143";"SISAL";"NO";"SOC_CLND031";"Otros cultivos fibrosos n.c.o.p."
"149";"ZARZAMORA";"NO";"SOC_CLND059";"Bayas (excepto fresas)"
"151";"PUERRO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"152";"PIMIENTO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"153";"MELÓN";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"154";"BRÓCOLI";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"155";"LECHUGA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"156";"SANDÍA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"157";"CEBOLLA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"158";"APIO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"159";"COLIRRÁBANO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"160";"COLIFLOR";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"162";"BERENJENA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"163";"CALABACÍN";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"164";"ALCACHOFA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"165";"PEPINO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"166";"ACELGA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"167";"CEBOLLETA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"168";"CHALOTA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"169";"AJO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"171";"CHIRIVÍA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"172";"REPOLLO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"173";"COL ROJA O LOMBARDA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"174";"COL MILÁN O SAVOY";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"175";"BERZA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"176";"COL DE BRUSELAS";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"177";"ENDIVIA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"178";"ZANAHORIA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"179";"NABO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"181";"ACHICORIA";"NO";"SOC_CLND035_036";"Cultivos energéticos y otros cultivos industriales n.c.o.p."
"182";"GUINDILLA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"183";"ESPINACA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"184";"CARDO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"185";"CALABAZA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"186";"CALABAZA DEL PEREGRINO";"NO";"SOC_CLND026";"Otros cultivos de semillas oleaginosas n.c.o.p."
