"Código asociación";"NIF";"Razón social";"Detalle";"Autoridad competente";Fecha de alta;Fecha de modificación;Fecha de baja
"1";;"AGRARIA ESTANY, S.L.";"EMPRESA PRODUCTORA DE SEMILLAS SELECTAS";"CATALUÑA";24/05/2023;;
"2";;"AGRICULTORES UNIDOS, S.A.";"EMPRESA PRODUCTORA DE SEMILLAS SELECTAS";"CATALUÑA";24/05/2023;;
"3";;"AGRO VALERO, S.L.U.";"EMPRESA PRODUCTORA DE SEMILLAS SELECTAS";"ARAGÓN";24/05/2023;;
"4";;"AGROMONEGROS, S.A.";"EMPRESA PRODUCTORA DE SEMILLAS SELECTAS";"ARAGÓN";24/05/2023;;
"5";;"AGROQUIVIR S.C.A. 2º GRADO";"EMPRESA PRODUCTORA DE SEMILLAS SELECTAS";"ANDALUCÍA";24/05/2023;;
"6";;"AGROSA SEMILLAS SELECTAS, S.A.";"EMPRESA PRODUCTORA DE SEMILLAS SELECTAS";"CASTILLA-LA MANCHA";24/05/2023;;
"7";;"AGROTIKOS OIKOS SPIROU AEBE";"EMPRESA PRODUCTORA DE SEMILLAS SELECTAS";"ANDALUCÍA";24/05/2023;;
"8";;"ANTARIS SEEDS S.L.U.";"EMPRESA PRODUCTORA DE SEMILLAS SELECTAS";"CATALUÑA";24/05/2023;;
"9";;"ANTONIO CABALLERO, S.L.";"EMPRESA PRODUCTORA DE SEMILLAS SELECTAS";"CASTILLA-LA MANCHA";24/05/2023;;
"10";;"ARAGONESA DE SEMILLAS, S.L.";"EMPRESA PRODUCTORA DE SEMILLAS SELECTAS";"ARAGÓN";24/05/2023;;
"11";;"BERNABÉ CAMPAL, S.L.";"EMPRESA PRODUCTORA DE SEMILLAS SELECTAS";"CASTILLA Y LEÓN";24/05/2023;;
"12";;"CAMELINA COMPANY ESPAÑA";"EMPRESA PRODUCTORA DE SEMILLAS SELECTAS";"MADRID";24/05/2023;;
"13";;"CECOSA SEMILLAS, S.L.";"EMPRESA PRODUCTORA DE SEMILLAS SELECTAS";"CASTILLA Y LEÓN";24/05/2023;;
