"Código SIEX";"Código asociación";"NIF";"Razón social";"Zona de control";"Certifica a A. ecológica";"Certifica a Producción Integrada";"Certifica a DOP";"Certifica a IGP";"Certifica a ETG";"Certifica producto ibérico";"Inspecciona a cerdo ibérico";"Dirección";"Teléfono";"Email";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"EC_AENO";"A84251990";"AENOR CONFIA, S.A. (Unipersonal)";"CAN/CLM/CYL/CAT/EXT/MUR/NAV/PVA";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"C/ Génova, nº 6. 28004 - Madrid (Madrid)";" 914 325 971";"calidad@aenor.com";20/09/2023;14/01/2026;
"2";"ES-ECO-003-AN";"B04309795";"AGROCOLOR, S.L.";"ANDALUCÍA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"CTRA. DE RONDA, 11 BAJO. 04004 - Almería (Almería)";" 950 280380";"gerardo@agrocolor.es";20/09/2023;14/05/2024;
"3";"ES-ECO-003-CM";"B04309795";"AGROCOLOR, S.L.";"CASTILLA-LA MANCHA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"CTRA. DE RONDA, 11 BAJO. 04004 - Almería (Almería)";" 950 280380";"gerardo@agrocolor.es";20/09/2023;14/05/2024;
"4";"EC_AGRO";"B04309795";"AGROCOLOR, S.L.";"AND/ARA/CAN/CLM/CAT/PVA";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"CTRA. DE RONDA, 11 BAJO. 04004 - Almería (Almería)";" 950 280380";"gerardo@agrocolor.es";20/09/2023;20/05/2024;
"5";"EC_APOR";"B91421685";"ARAPORC, ENTIDAD DE INSPECCIÓN, S.L.";"AND/CYL/CAT/EXT/PVA";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"C/ Gabriel Miró, Edificio Wertice 2º Planta izquierda, Módulo 1. 41703 - Dos Hermanas (Sevilla)";" 95 464 74 23";"teresalopez@araporcei.es";20/09/2023;14/01/2026;
"6";"ES-ECO-029-AN";"B28205904";"BUREAU VERITAS IBERIA, S.L.";"ANDALUCÍA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/ Valportillo Primera, 22-24. Edificio Caoba. 28108 - Alcobendas (Madrid)";" 912 702 200 / 911 110 228";"tqr.dirtec@bureauveritas.com";20/09/2023;14/05/2024;
"7";"ES-ECO-029-CL";"B28205904";"BUREAU VERITAS IBERIA, S.L.";"CASTILLA Y LEÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/ Valportillo Primera, 22-24. Edificio Caoba. 28108 - Alcobendas (Madrid)";" 912 702 200 / 911 110 228";"tqr.dirtec@bureauveritas.com";20/09/2023;14/05/2024;
"8";"ES-ECO-029-CM";"B28205904";"BUREAU VERITAS IBERIA, S.L.";"CASTILLA-LA MANCHA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/ Valportillo Primera, 22-24. Edificio Caoba. 28108 - Alcobendas (Madrid)";" 912 702 200 / 911 110 228";"tqr.dirtec@bureauveritas.com";20/09/2023;14/05/2024;
"9";"EC_BUVE";"B28205904";"BUREAU VERITAS IBERIA, S.L.";"AND/ARA/CLM/CYL/CAT/GAL/PVA";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"C/ Valportillo Primera, 22-24. Edificio Caoba. 28108 - Alcobendas (Madrid)";" 912 702 200 / 911 110 228";"tqr.dirtec@bureauveritas.com";20/09/2023;20/05/2024;
"10";"ES-ECO-031-CL";"B47467113";"CCL CERTIFICACIÓN, S.L.";"CASTILLA Y LEÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/ Tierra de Medina, 1 -1º A. 47008 - Valladolid (Valladolid)";" 983 13 56 60";"cristina.arias@cclcertificacion.es";20/09/2023;14/05/2024;
"11";"EC_CCLC";"B47467113";"CCL CERTIFICACIÓN, S.L.";"CLM/CYL/CAT/NAV/PVA";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"C/ Tierra de Medina, 1 -1º A. 47008 - Valladolid (Valladolid)";" 983 13 56 60";"cristina.arias@cclcertificacion.es";20/09/2023;20/05/2024;
"12";"EC_CCAL";"B91292458";"CERTICALIDAD, S.L.";"AND/CYL/CAT/EXT/MUR/PVA";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"Pol. Ind. Nuevo Calonge. C/ Espátula, 13-15. 41007 - Sevilla (Sevilla)";" 95 436 74 84";"certicalidad@certicalidad.com";20/09/2023;14/01/2026;
"13";"EC_CCAR";"B83718502";"CERTICAR, S.L.";"AND/CLM/CYL/CAT/EXT/MUR/PVA";"NO";"NO";"SI";"SI";"SI";"NO";"NO";"C/ José Abascal, nº 44. 28003 - Madrid (Madrid)";" 91.571.11.05";"anasanchez@certicar.es";20/09/2023;14/01/2026;
"14";"EC_0CAC";"B90379785";"CERTIFICACIONES AGRARIAS DE CALIDAD, S.L. (Unipersonal)";"AND";"NO";"NO";"SI";"NO";"SI";"NO";"NO";"Avd. Mantecado, nº 7, 1º D. 41560 - Estepa (Sevilla)";" 955 912 630";"secretaria@doestepa.es";20/09/2023;20/05/2024;
"15";"EC_CCER";"B37350543";"CERTIFICADORES DE CALIDAD, S.L.(Unipersonal) (CALICER)";"AND/CLM/CYL/CAT/EXT/MUR/NAV/PVA";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"C/ Hoces del Duratón, nº 13, 1º Izquierda. Poligono Industrial El Montalvo II. 37008 - Salamanca (Salamanca)";" 923 192 238";"calicer@calicer.com";20/09/2023;14/01/2026;
"16";"ES-ECO-028-AN";"B83196907";"CERTIFOOD, S.L.";"ANDALUCÍA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/Cristóbal Bordiu, 35. of. 415. 28003 - Madrid (Madrid)";" 91 745 00 14";"dtecnica@certifood.org";20/09/2023;14/05/2024;
"17";"ES-ECO-028-AR";"B83196907";"CERTIFOOD, S.L.";"ARAGÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/Cristóbal Bordiu, 35. of. 415. 28003 - Madrid (Madrid)";" 91 745 00 14";"dtecnica@certifood.org";20/09/2023;14/05/2024;25/04/2025
"18";"ES-ECO-028-CL";"B83196907";"CERTIFOOD, S.L.";"CASTILLA Y LEÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/Cristóbal Bordiu, 35. of. 415. 28003 - Madrid (Madrid)";" 91 745 00 14";"dtecnica@certifood.org";20/09/2023;14/05/2024;
"19";"ES-ECO-028-CM";"B83196907";"CERTIFOOD, S.L.";"CASTILLA-LA MANCHA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/Cristóbal Bordiu, 35. of. 415. 28003 - Madrid (Madrid)";" 91 745 00 14";"dtecnica@certifood.org";20/09/2023;14/05/2024;
"20";"EC_CERF";"B83196907";"CERTIFOOD, S.L.";"AND/ARA/CAN/CLM/CYL/CAT/EXT/MUR/PVA";"NO";"NO";"SI";"SI";"SI";"NO";"NO";"C/Cristóbal Bordiu, 35. of. 415. 28003 - Madrid (Madrid)";" 91 745 00 14";"dtecnica@certifood.org";20/09/2023;14/01/2026;
"21";"ES-ECO-006-AR";"Q5055008F";"COMITÉ ARAGONÉS DE AGRICULTURA ECOLÓGICA";"ARAGÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Centro Empresarial Miralbueno. Ctra. de Madrid, km.315,7 - 1ª planta, Oficina P-5. 50012 - Zaragoza (Zaragoza)";" 976 475 778 / 976 586 904";"caaearagon@caaearagon.com";20/09/2023;14/05/2024;
"22";"ES-ECO-023-MA";"Q7850018H";"COMITÉ DE AGRICULTURA ECOLÓGICA DE LA COMUNIDAD DE MADRID (CAEM)";"COMUNIDAD DE MADRID";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Ronda de Atocha, 7 (Local). 28012- Madrid (Madrid)";" 91 506 38 30";"agricultura.eco@caem.es";20/09/2023;14/05/2024;
"23";"ES-ECO-O20-CV";"Q9655775F";"COMITÉ DE AGRICULTURA ECOLOGICA DE LA COMUNIDAD VALENCIANA (CAECV)";"COMUNIDAD VALENCIANA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Parc Industrial Ciutat de Carlet. C/ Tramontana, 16. 46240 - Carlet (Valencia)";" 962 538 241";"rgarcia@caecv.com";20/09/2023;29/07/2025;30/07/2025
"24";"ES-ECO-013-IB";"Q5750010J";"CONSEJO BALEAR DE LA PRODUCCIÓN AGRARIA ECOLÓGICA (CBPAE)";"ISLAS BALEARES";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Carrer d'en Sala, nº 11. 07260 - Porreres (Illes Balears)";" 871 038 530";"info@cbpae.org";20/09/2023;14/05/2024;
"25";"ES-ECO-019-CT";"S0800044J";"CONSEJO CATALÁN DE LA PRODUCCIÓN AGRARIA ECOLÓGICA (CCPAE)";"CATALUÑA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"C/ del Doctor Roux, 80, 1ª planta. 08017 - Barcelona (Barcelona)";" 935 524 790";"ccpae@ccpae.cat";20/09/2023;14/05/2024;
"26";"ES-ECO-016-CL";"S8400010H";"CONSEJO DE AGRICULTURA ECOLÓGICA DE CASTILLA Y LEÓN (CAECYL)";"CASTILLA Y LEÓN";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Avenida de Burgos, nº 76. 47009 - Valladolid (Valladolid)";" 983 343 855 / 983 342 640";"eco@caecyl.es";20/09/2023;14/05/2024;
"27";"ES-ECO-024-MU";"Q3000200J";"CONSEJO DE AGRICULTURA ECOLÓGICA DE LA REGIÓN DE MURCIA (CAERM)";"REGIÓN DE MURCIA";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Calle Frutos Baeza, 3, 4º. 30004 - Murcia (Murcia)";" 968 355 488";"directortecnico@caermurcia.com";20/09/2023;14/05/2024;
