"Código estrato";"Estrato de las ayudas PAC en EUR"
"1";"0"
"2";"0 < Importe <= 1.250"
"3";"1.250 < Importe <= 2.000"
"4";"2.000 < Importe <= 4.000"
"5";"4.000 < Importe <= 6.000"
"6";"6.000 < Importe <= 8.000"
"7";"8.000 < Importe <= 10.000"
"8";"10.000 < Importe <= 20.000"
"9";"20.000 < Importe <= 40.000"
"10";"40.000 < Importe <= 60.000"
"11";"60.000 < Importe <= 80.000"
"12";"80.000 < Importe <= 100.000"
"13";"100.000 < Importe <= 120.000"
"14";"120.000 < Importe <= 150.000"
"15";"150.000 < Importe <= 200.000"
"16";"Importe > 200.000"
"17";"Nulo sin dato"
