"Código clase";"Clase";"Límites en EUR"
"1";"I";"PET < 2.000"
"2";"II";"2.000 <= PET < 4.000"
"3";"III";"4.000 <= PET < 8.000"
"4";"IV";"8.000 <= PET < 15.000"
"5";"V";"15.000 <= PET < 25.000"
"6";"VI";"25.000 <= PET < 50.000"
"7";"VII";"50.000 <= PET < 100.000"
"8";"VIII";"100.000 <= PET < 250.000"
"9";"IX";"250.000 <= PET < 500.000"
"10";"X";"500.000 <= PET < 750.000"
"11";"XI";"750.000 <= PET < 1.000.000"
"12";"XII";"1.000.000 <= PET < 1.500.000"
"13";"XIII";"1.500.000 <= PET < 3.000.000"
"14";"XIV";"PET >= 3.000.000"
