"Condición previa";"CEE incluidos en el CAG";"CAG";"Descripción"
;"CLND004";"P1";"Grandes cultivos"
;"CLND004";"P15";"Cereales"
;"CLND004";"P151";"Cereales sin arroz"
;"CLND005";"P1";"Grandes cultivos"
;"CLND005";"P15";"Cereales"
;"CLND005";"P151";"Cereales sin arroz"
;"CLND006";"P1";"Grandes cultivos"
;"CLND006";"P15";"Cereales"
;"CLND006";"P151";"Cereales sin arroz"
;"CLND007";"P1";"Grandes cultivos"
;"CLND007";"P15";"Cereales"
;"CLND007";"P151";"Cereales sin arroz"
;"CLND008";"P1";"Grandes cultivos"
;"CLND008";"P15";"Cereales"
;"CLND008";"P151";"Cereales sin arroz"
;"CLND009";"P1";"Grandes cultivos"
;"CLND009";"P15";"Cereales"
;"CLND009";"P151";"Cereales sin arroz"
;"CLND010_011_012";"P1";"Grandes cultivos"
;"CLND010_011_012";"P15";"Cereales"
;"CLND010_011_012";"P151";"Cereales sin arroz"
;"CLND013";"P1";"Grandes cultivos"
;"CLND013";"P15";"Cereales"
;"CLND014";"P1";"Grandes cultivos"
;"CLND017";"P1";"Grandes cultivos"
"Si GL existe";"CLND017";"P17";"Raices y tubérculos"
"Si GL no existe";"CLND017";"P17";"Raices y tubérculos"
;"CLND018";"P1";"Grandes cultivos"
"Si GL no existe";"CLND018";"P17";"Raices y tubérculos"
"Si GL existe";"CLND018";"P17";"Raices y tubérculos"
"Si GL no existe";"CLND019";"FCP1";"Forraje destinado a la venta"
"Si GL existe";"CLND019";"FCP4";"Forraje para herbívoros"
"Si GL no existe";"CLND019";"P1";"Grandes cultivos"
"Si GL no existe";"CLND019";"P17";"Raices y tubérculos"
"Si GL existe";"CLND019";"P4";"Herbívoros y forraje"
;"CLND022";"P1";"Grandes cultivos"
;"CLND022";"P16";"Semillas oleaginosas"
;"CLND023";"P1";"Grandes cultivos"
;"CLND023";"P16";"Semillas oleaginosas"
;"CLND024";"P1";"Grandes cultivos"
;"CLND024";"P16";"Semillas oleaginosas"
;"CLND025";"P1";"Grandes cultivos"
;"CLND025";"P16";"Semillas oleaginosas"
;"CLND026";"P1";"Grandes cultivos"
;"CLND026";"P16";"Semillas oleaginosas"
;"CLND028";"P1";"Grandes cultivos"
;"CLND029";"P1";"Grandes cultivos"
;"CLND030";"P1";"Grandes cultivos"
;"CLND031";"P1";"Grandes cultivos"
;"CLND032";"P1";"Grandes cultivos"
;"CLND033";"P1";"Grandes cultivos"
;"CLND034";"P1";"Grandes cultivos"
;"CLND035_036";"P1";"Grandes cultivos"
"Si GL no existe";"CLND038";"FCP1";"Forraje destinado a la venta"
"Si GL existe";"CLND038";"FCP4";"Forraje para herbívoros"
"Si GL no existe";"CLND038";"P1";"Grandes cultivos"
"Si GL existe";"CLND038";"P4";"Herbívoros y forraje"
"Si GL no existe";"CLND039";"FCP1";"Forraje destinado a la venta"
"Si GL existe";"CLND039";"FCP4";"Forraje para herbívoros"
"Si GL no existe";"CLND039";"P1";"Grandes cultivos"
"Si GL existe";"CLND039";"P4";"Herbívoros y forraje"
"Si GL no existe";"CLND040";"FCP1";"Forraje destinado a la venta"
"Si GL existe";"CLND040";"FCP4";"Forraje para herbívoros"
"Si GL no existe";"CLND040";"P1";"Grandes cultivos"
"Si GL existe";"CLND040";"P4";"Herbívoros y forraje"
"Si GL no existe";"CLND041_042";"FCP1";"Forraje destinado a la venta"
"Si GL existe";"CLND041_042";"FCP4";"Forraje para herbívoros"
"Si GL no existe";"CLND041_042";"P1";"Grandes cultivos"
"Si GL existe";"CLND041_042";"P4";"Herbívoros y forraje"
;"CLND044";"P2";"Horticultura"
;"CLND045";"P1";"Grandes cultivos"
;"CLND046";"P2";"Horticultura"
;"CLND047";"P1";"Grandes cultivos"
;"CLND048_083";"P1";"Grandes cultivos"
;"CLND049";"P1";"Grandes cultivos"
"Si GL no existe";"CLND051";"FCP1";"Forraje destinado a la venta"
"Si GL existe";"CLND051";"FCP4";"Forraje para herbívoros"
"Si GL no existe";"CLND051";"P1";"Grandes cultivos"
"Si GL existe";"CLND051";"P4";"Herbívoros y forraje"
"Si GL no existe";"CLND052";"FCP1";"Forraje destinado a la venta"
"Si GL existe";"CLND052";"FCP4";"Forraje para herbívoros"
"Si GL no existe";"CLND052";"P1";"Grandes cultivos"
"Si GL existe";"CLND052";"P4";"Herbívoros y forraje"
;"CLND056";"P3";"Cultivos permanentes"
;"CLND057";"P3";"Cultivos permanentes"
;"CLND058";"P3";"Cultivos permanentes"
;"CLND059";"P3";"Cultivos permanentes"
;"CLND060";"P3";"Cultivos permanentes"
;"CLND061";"P3";"Cultivos permanentes"
;"CLND062";"P3";"Cultivos permanentes"
;"CLND064";"P3";"Cultivos permanentes"
;"CLND065";"P3";"Cultivos permanentes"
;"CLND066";"P3";"Cultivos permanentes"
;"CLND067";"P3";"Cultivos permanentes"
;"CLND068";"P3";"Cultivos permanentes"
;"CLND069";"P3";"Cultivos permanentes"
;"CLND070";"P2";"Horticultura"
;"CLND071";"P3";"Cultivos permanentes"
;"CLND079";"P2";"Horticultura"
;"CLND081";"P2";"Horticultura"
;"CLND082";"P2";"Horticultura"
;"CLND084";"P3";"Cultivos permanentes"
;"CLVS001";"GL";"Herbívoros"
;"CLVS001";"P4";"Herbívoros y forraje"
;"CLVS001";"P45";"Bovinos lecheros"
;"CLVS001";"P46";"Bovinos"
;"CLVS003";"GL";"Herbívoros"
;"CLVS003";"P4";"Herbívoros y forraje"
;"CLVS003";"P46";"Bovinos"
;"CLVS004";"GL";"Herbívoros"
;"CLVS004";"P4";"Herbívoros y forraje"
;"CLVS004";"P45";"Bovinos lecheros"
;"CLVS004";"P46";"Bovinos"
;"CLVS005";"GL";"Herbívoros"
;"CLVS005";"P4";"Herbívoros y forraje"
;"CLVS005";"P46";"Bovinos"
;"CLVS007";"GL";"Herbívoros"
;"CLVS007";"P4";"Herbívoros y forraje"
;"CLVS007";"P45";"Bovinos lecheros"
;"CLVS007";"P46";"Bovinos"
;"CLVS009";"GL";"Herbívoros"
;"CLVS009";"P4";"Herbívoros y forraje"
;"CLVS009";"P45";"Bovinos lecheros"
;"CLVS009";"P46";"Bovinos"
;"CLVS010";"GL";"Herbívoros"
;"CLVS010";"P4";"Herbívoros y forraje"
;"CLVS010";"P46";"Bovinos"
;"CLVS013";"GL";"Herbívoros"
;"CLVS013";"P4";"Herbívoros y forraje"
;"CLVS014";"GL";"Herbívoros"
;"CLVS014";"P4";"Herbívoros y forraje"
;"CLVS016";"GL";"Herbívoros"
;"CLVS016";"P4";"Herbívoros y forraje"
;"CLVS017";"GL";"Herbívoros"
;"CLVS017";"P4";"Herbívoros y forraje"
;"CLVS018";"P5";"Granívoros"
;"CLVS018";"P51";"Cerdos"
;"CLVS019";"P5";"Granívoros"
;"CLVS019";"P51";"Cerdos"
;"CLVS020";"P5";"Granívoros"
;"CLVS020";"P51";"Cerdos"
;"CLVS021";"P5";"Granívoros"
;"CLVS021";"P52";"Aves de corral"
;"CLVS022";"P5";"Granívoros"
;"CLVS022";"P52";"Aves de corral"
;"CLVS023";"P5";"Granívoros"
;"CLVS023";"P52";"Aves de corral"
;"CLVS029";"P5";"Granívoros"
