"Código asociación";"NIF";"Razón social";"Detalle"
"ES12OP0001";"G70303219";"UNIÓN LEITEIRA GALEGA (ULEGA)";"Organizaciones de productores de leche"
"ES07OP0001";"F49204654";"CONSORCIO DE PROMOCIÓN DEL OVINO, SOCIEDAD COOPERATIVA";"Organizaciones de productores de leche"
"ES01OP0001";"G90071234";"OPL DEL SUR";"Organizaciones de productores de leche"
"ES07OP0003";"G47695572";"ASOCIACIÓN DE GANADEROS PRODUCTORES DE LECHE (AGAPROL)";"Organizaciones de productores de leche"
"ES09OP0002";"F25002338";"CADI,SCCL";"Organizaciones de productores de leche"
"ES07OP0004";"F24694648";"ORGANIZACION DE PRODUCTORES DE LECHE DE OVEJA DE CASTILLA Y LEÓN SOC. COOP.";"Organizaciones de productores de leche"
"ES07OP0005";"G47763362";"ASOCIACIÓN LÁCTEA EMPRESARIAL";"Organizaciones de productores de leche"
"ES03OP0001";"F33012915";"SAT Nº 471 CENTRAL LECHERA ASTURIANA";"Organizaciones de productores de leche"
"ES07OP0006";"F47734215";"TIERRAS DE OVINO SOCIEDAD COOPERATIVA";"Organizaciones de productores de leche"
"ES07OP0007";"F49006554";"SOC. COOP. LTDA. BAJO DUERO, COBADU";"Organizaciones de productores de leche"
"ES12OP0003";"G27511344";"ASOC DE PRODUTORES DE LEITE ECOLOXICO DE GALICIA";"Organizaciones de productores de leche"
