"Código SIEX";"Razón social";"NIF";"Teléfono";"Email";Fecha de baja
"1";"ASOCIACIÓN INTERPROFESIONAL DE FORRAJES ESPAÑOLES (AIFE)";"G25338948";"976150032";"info@aife.es";
"2";"ORGANIZACIÓN INTERPROFESIONAL DEL HUEVO Y SUS PRODUCTOS (INPROVO)";"G82092222";"910550257";"inprovo@inprovo.com";
"3";"ASOCIACIÓN INTERPROFESIONAL DE LIMÓN Y POMELO (AILIMPO)";"G73005027";"968216619";"informacion@ailimpo.com";
"4";"INTERPROFESIONAL CITRÍCOLA ESPAÑOLA (INTERCITRUS)";"G96224829";"961943847";"intercitrus@intercitrus.org";
"5";"ASOCIACIÓN INTERPROFESIONAL ESPAÑOLA DE CARNE AVÍCOLA (AVIANZA)";"G82062225";"915622488";"avianza@avianza.org";
"6";"ASOCIACIÓN INTERPROFESIONAL DEL CERDO IBÉRICO (ASICI)";"G06177554";"924554610";"asici@asici.com";
"7";"ORGANIZACIÓN INTERPROFESIONAL AGROALIMENTARIA DE CEREALES PANIFICABLES Y DERIVADOS (INCERHPAN)";"G82329426";"915754004";"info@incerhpan.com";
"8";"ORGANIZACIÓN INTERPROFESIONAL LÁCTEA (INLAC)";"G82520982";"646466397";"info@intercun.org";
"9";"ORGANIZACIÓN INTERPROFESIONAL PARA IMPULSAR EL SECTOR CUNÍCOLA (INTERCUN)";"G20712428";"646466397";"info@intercun.org";
"10";"ORGANIZACIÓN INTERPROFESIONAL PESQUERA (INTERFISH)";"G27873421";"608531566";"gocanaor@interfish.es";
"11";"ORGANIZACIÓN INTERPROFESIONAL DEL OVINO Y CAPRINO DE CARNE (INTEROVIC)";"G83076810";"918336472";"interovic@interovic.es";
"12";"ORGANIZACIÓN INTERPROFESIONAL DEL ACEITE DE OLIVA ESPAÑOL";"G83651851";"915234384";"info@interprofesionaldelaceitedeoliva.com";
"13";"ORGANIZACIÓN INTERPROFESIONAL DEL VINO DE RIOJA (OIPVR)";"G26362533";"941500648";"celiazorzano@ejv-abogados.es";
"14";"ORGANIZACIÓN INTERPROFESIONAL DE LA ACEITUNA DE MESA";"G91632679";"954215569";"info@interaceituna.es";
"15";"ORGANIZACIÓN INTERPROFESIONAL DEL TABACO DE ESPAÑA (OITAB)";"G84723139";"927534398";"fvaquero@oitab.es";
"16";"INTERPROFESIONAL ESPAÑOLA DE LA ALIMENTACIÓN ANIMAL (INTERAL)";"V85105856";"915633413";"interal@interal.eu";
"17";"ORGANIZACIÓN INTERPROFESIONAL DEL CARACOL DE CRIANZA";"G64471675";"938356800";"info@ancec.org";
"18";"ASOCIACIÓN INTERPROFESIONAL DEL PORCINO DE CAPA BLANCA (INTERPORC)";"G85661577";"911610059";"info@interporc.com";
"19";"ASOCIACIÓN INTERPROFESIONAL DE LAS PALMÍPEDAS GRASAS (INTERPALM)";"G99245599";"917217929";"gerencia@elfoiegras.es";
"20";"ASOCIACIÓN INTERPROFESIONAL DE LA CARNE DE CAZA SILVESTRE (ASICCAZA)";"G13508700";"627399872";"info@asiccaza.org";
"21";"ORGANIZACIÓN INTERPROFESIONAL DEL VINO DE ESPAÑA (OIVE)";"G87595328";"912903234";"info@oive.org";
"22";"ORGANIZACIÓN INTERPROFESIONAL DE LA CARNE DE VACUNO (PROVACUNO)";"G87305009";"917129125";"info@provacuno.es";
"23";"ORGANIZACIÓN INTERPROFESIONAL DEL ACEITE DE ORUJO DE OLIVA";"G90230145";"954645420";"info@oriva.es";
"24";"ORGANIZACIÓN INTERPROFESIONAL ESPAÑOLA DE FRUTAS Y HORTALIZAS (HORTIESPAÑA)";"G04832648";"662388055";"info@hostiespana.eu";
"25";"ORGANIZACIÓN INTERPROFESIONAL AGROALIMENTARIA DE ESPÁRRAGO VERDE DE ESPAÑA";"G02914612";"958522616";"info@interprofesionalesparragoverde.com";
"26";"ORGANIZACIÓN INTERPROFESIONAL DEL AGUACATE Y EL MANGO";"G19753466";"952500700";"info@trops.es";
