"Código SIEX";"Código asociación";"NIF";"Razón social";"Detalle";"Autoridad competente";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"ES0001";"F46051025";"SECCIÓN HORTOFRUTÍCOLA DE LA COOPERATIVA COHOCA COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"2";"ES0002";"F31020753";"COOP. AGRICOLA  SAN BLAS";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;
"3";"ES0003";"F54341565";"SECCIÓN HORTOFRUTÍCOLA DE SURINVER EL GRUPO S.COOP";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"4";"ES0004";"F30046411";"SECCION OPFH DE HORTAMIRA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"5";"ES0005";"F03013828";"COOP. AGRICOLA ""CALLOSA D´EN SARRIA"" C.V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"6";"ES0006";"F30040893";"Sección OPFH de SOCIEDAD COOPERATIVA LIMITADA DE COMERCIALIZACIÓN AGRARIA (COATO)";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"7";"ES0009";"F46024436";"SECCIÓN FRUTAS, HORTALIZAS Y CÍTRICOS DE LA COOPERATIVA AGRÍCOLA ALGINET S. COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"8";"ES0010";"F30051643";"EL LIMONAR DE SANTOMERA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"9";"ES0011";"F46024469";"SECCIÓN DE FRUTAS, HORTALIZAS Y CÍTRICOS DE LA COOPERATIVA AGRÍCOLA Y GANADERA DE ALMUSSAFES, COOP. V";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"10";"ES0013";"F03061355";"ALBAFRUITS";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;14/08/2025
"11";"ES0015";"F46038881";"SECCIÓN CITRÍCOLA Y HORTOFRUTÍCOLA ORGANIZACIÓN DE PRODUCTORES DE LA COOPERATIVA AGRÍCOLA DE CATADAU S. COOP. V. LTDA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"12";"ES0019";"F46026068";"SECCIÓN HORTOFRUTICOLA DE LA COOPERATIVA VINICOLA DE LLIRIA S.C.V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"13";"ES0023";"F46026696";"SECCIÓN HORTOFRUTÍCOLA ORGANIZACIÓN DE PRODUCTORES DE LA COOPERATIVA VITIVINÍCOLA DE LA POBLA DEL DUC COOP.V";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;14/08/2025
"14";"ES0024";"F46029062";"DEL CAMPO DE VILA NOVA DE CASTELLO,";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"15";"ES0028";"F46024303";"COOP. AGRICOLA NTRA. SRA. DEL ORETO";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"16";"ES0029";"F46026837";"SECCIÓN CITRÍCOLA Y HORTOFRUTICOLA DE LA COOPERATIVA AGRÍCOLA LA REALENSE COOP. V";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"17";"ES0030";"F46024584";"RURAL SAN VICENTE FERRER DE BENAGUASIL, COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"18";"ES0033";"F46026621";"Agro-Cítrica de Picassent Coop. V";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"19";"ES0036";"F12016051";"VALLFRUT COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"20";"ES0038";"B17015769";"SL. FRUCTICOLA EMPORDA";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"21";"ES0039";"V25010562";"SAT No. 2897/14 CAT FRUTURGELL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"22";"ES0041";"F17021676";"GIRONA FRUITS";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"23";"ES0043";"F30020408";"SAT Nº 2457 SAN CAYETANO";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"24";"ES0045";"F50019405";"SAN SEBASTIAN";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"25";"ES0049";"F25003989";"FOMENT AGRÍCOLA LES PLANES, SCCL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"26";"ES0050";"F25015769";"AGROPECUARIA  DE JUNEDA";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"27";"ES0053";"F25026451";"MIRALCAMP FRUITS";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"28";"ES0056";"F25008277";"FRUILAR";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"29";"ES0057";"F46026118";"SECCIÓN HORTOFRUTICOLA ORGANIZACIÓN DE PRODUCTORES DE LA COOPERATIVA AGRÍCOLA DEL MARQUESADO COOP.V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";17/12/2025;17/12/2025;06/10/2023
"30";"ES0058";"F25028648";"LA BORDETA FRUITS,";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"31";"ES0064";"F46108882";"AGRICOLA DE BETERA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"32";"ES0065";"F46026647";"SECCIÓN CITRÍCOLA Y HORTOFRUTÍCOLA DE LA COOPERATIVA SAN ISIDRO LABRADOR DE PICASSENT";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"33";"ES0068";"F10027423";"ACOREX, S. COOP. LTDA.";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"34";"ES0070";"B17011511";"GIROPOMA COSTA BRAVA";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"35";"ES0072";"F30085773";"COEXMA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"36";"ES0073";"F04006110";"EJIDOMAR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"37";"ES0074";"F04001780";"CABASC";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
