"OTE";"Sector";"Clase";"Descripción OTE 12";"OTE 12";"Descripción OTE 23";"OTE 23"
"ALG";"Algodón";"165";"Otros cultivos anuales extensivos";"16";"Algodón";"165"
"ARR";"Arroz";"152";"Cereales, oleaginosas y proteaginosas";"15";"Arroz";"152"
"AVI";"Aves";"52";"Granívoros";"50";"Aves";"52"
"CERO";"Explotaciones no clasificadas";"99";"CERO";"99";"CERO";"99"
"C.EXT";"Resto cultivos anuales extensivos";"162+166";"Otros cultivos anuales extensivos";"16";"Resto cultivos anuales extensivos";"162+166"
"CIT";"Cítricos";"362";"Frutales";"36";"Cítricos";"362"
"COP";"Cereales, oleaginosas y proteaginosas";"151+153";"Cereales, oleaginosas y proteaginosas";"15";"Cereales, oleaginosas y proteaginosas";"151+153"
"C.PER";"Mixto cultivos permanentes";"365+380";"Mixto (Agricultura y Cultivos permanentes)";"60";"Mixto (Agricultura y Cultivos permanentes)";"60"
"FRU";"Frutales no cítricos";"361";"Frutales";"36";"Frutales no cítricos";"361"
"F.SEC";"Frutos secos";"363";"Frutales";"36";"Frutos secos";"363"
"F.TRO";"Frutales tropicales";"364";"Frutales";"36";"Frutales tropicales";"364"
"HOR";"Hortícolas en terreno de labor";"163";"Otros cultivos anuales extensivos";"16";"Hortícolas en terreno de labor";"163"
"HORT";"Horticultura";"20";"Horticultura";"20";"Horticultura";"20"
"MIX";"Mixto agricultura y ganadería";"80";"Mixto (cultivo y ganado)";"70";"Mixto (cultivo y ganado)";"70"
"MIXAGR";"Mixto de agricultura";"61";"Mixto (Agricultura y Cultivos permanentes)";"60";"Mixto (Agricultura y Cultivos permanentes)";"60"
"MIXGAN";"Mixto ganadería";"53+70";"Mixto (cultivo y ganado)";"70";"Mixto (cultivo y ganado)";"70"
"OLI";"Olivar";"370";"Olivar";"37";"Olivar";"370"
"OV.CAP.CAR";"Ovino, caprino, otros herbívoros carne";"48c";"Ovino, caprino y otros herbívoros";"48";"Ovino, caprino, otros herbívoros carne";"48c"
"OV.CAP.LECH";"Ovino y caprino leche";"48l";"Ovino, caprino y otros herbívoros";"48";"Ovino y caprino leche";"48l"
"POR";"Porcino";"51";"Granívoros";"50";"Porcino";"51"
"TAB";"Tabaco";"164";"Otros cultivos anuales extensivos";"16";"Tabaco";"164"
"TUB";"Raíces y tubérculos";"161";"Otros cultivos anuales extensivos";"16";"Raíces y tubérculos";"161"
"V.CAR";"Resto de vacuno carne";"49r";"Vacuno cría y carne";"49";"Resto de vacuno carne";"49r"
"V.CEB";"Vacuno cebo";"49c";"Vacuno cría y carne";"49";"Vacuno cebo";"49c"
"VIT";"Vitivinicultura";"35";"Vitivinicultura";"35";"Vitivinicultura";"35"
"V.LEC";"Vacuno lechero";"450";"Vacuno lechero";"45";"Vacuno lechero";"450"
