"OTE General";"Descripción OTE General";"OTE Principal";"Descripción OTE Principal";"OTE Particular";"Descripción OTE Particular"
"1";"Explotaciones especializadas en grandes cultivos";"15";"Explotaciones especializadas en el cultivo de cereales, semillas oleaginosas y proteaginosas";"151";"Explotaciones especializadas en el cultivo de cereales (distintos del arroz), semillas oleaginosas y proteaginosas"
"1";"Explotaciones especializadas en grandes cultivos";"15";"Explotaciones especializadas en el cultivo de cereales, semillas oleaginosas y proteaginosas";"152";"Explotaciones especializadas en arroz"
"1";"Explotaciones especializadas en grandes cultivos";"15";"Explotaciones especializadas en el cultivo de cereales, semillas oleaginosas y proteaginosas";"153";"Explotaciones que combinen cereales, semillas oleaginosas, proteaginosas y arroz"
"1";"Explotaciones especializadas en grandes cultivos";"16";"Explotaciones con grandes cultivos";"161";"Explotaciones especializadas en el cultivo de raíces y tubérculos"
"1";"Explotaciones especializadas en grandes cultivos";"16";"Explotaciones con grandes cultivos";"162";"Explotaciones que combinen cereales, oleaginosas, proteaginosas y raíces y tubérculos"
"1";"Explotaciones especializadas en grandes cultivos";"16";"Explotaciones con grandes cultivos";"163";"Explotaciones especializadas en el cultivo de hortalizas producidas al aire libre"
"1";"Explotaciones especializadas en grandes cultivos";"16";"Explotaciones con grandes cultivos";"164";"Explotaciones especializadas en el cultivo de tabaco"
"1";"Explotaciones especializadas en grandes cultivos";"16";"Explotaciones con grandes cultivos";"165";"Explotaciones especializadas en el cultivo de algodón"
"1";"Explotaciones especializadas en grandes cultivos";"16";"Explotaciones con grandes cultivos";"166";"Explotaciones que combinen varios grandes cultivos"
"2";"Explotaciones especializadas en horticultura";"21";"Explotaciones hortícolas especializadas en invernadero";"211";"Explotaciones especializadas en hortalizas en invernadero"
"2";"Explotaciones especializadas en horticultura";"21";"Explotaciones hortícolas especializadas en invernadero";"212";"Explotaciones especializadas en floricultura y plantas ornamentales en invernadero"
"2";"Explotaciones especializadas en horticultura";"21";"Explotaciones hortícolas especializadas en invernadero";"213";"Explotaciones especializadas en policultivo hortícola en invernadero"
