"CCAA";"Fecha inicio periodo";"Fecha fin periodo"
"Comunidad Autónoma de Andalucía";"01-05";"31-07"
"Comunidad Autónoma de Aragón";"01-03";"31-08"
"Principado de Asturias";"01-01";"01-05"
"Comunidad Autónoma de Illes Balears";"01-05";"31-07"
"Comunidad Autónoma de Canarias";"01-09";"31-12"
"Comunidad Autónoma de Cantabria";"01-03";"31-07"
"Comunidad Autónoma de Castilla y León";"01-04";"30-06"
"Comunidad Autónoma de Castilla-La Mancha";"01-05";"31-07"
"Comunidad Autónoma de Cataluña";"01-05";"31-07"
"Comunidad Valenciana";"01-05";"31-07"
"Comunidad Autónoma de Extremadura";"01-05";"31-07"
"Comunidad Autónoma de Galicia";"15-01";"30-04"
"Comunidad de Madrid";"01-05";"31-07"
"Región de Murcia";"01-01";"31-07"
"Comunidad Foral de Navarra";"01-05";"31-07"
"Comunidad Autónoma del País Vasco";"01-03";"31-07"
"Comunidad Autónoma de La Rioja";"01-01";"31-07"
