"Código SIEX";"Portainjerto";"Sinónimo";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"1 BLANCHARD";"BC1";13/04/2023;15/07/2025;
"2";"196 17 CASTEL";"196 17 CL";13/04/2023;15/07/2025;
"3";"6736 CASTEL";"6736 CL";13/04/2023;15/07/2025;
"4";"161 49 COUDERC";"161 49 C";13/04/2023;15/07/2025;
"5";"1616 COURDERC";"1616 C";13/04/2023;15/07/2025;
"6";"3309 COUDERC";"3309 C";13/04/2023;15/07/2025;
"7";"333 ESCUELA DE MONTPELLIER";"333 EM";13/04/2023;15/07/2025;
"8";"13 5 EVE JEREZ";"13 5 EVEX";13/04/2023;15/07/2025;
"9";"FERCAL";;13/04/2023;15/07/2025;
"10";"5 A MARTINEZ ZAPORTA";"5 AMZ";13/04/2023;15/07/2025;
"11";"41 B MILLARDET GRASSET";"41 B";13/04/2023;15/07/2025;
"12";"420 MILLARDET GRASSET";"420 A";13/04/2023;15/07/2025;
"13";"19 62 MILLARDET GRASSET";"19 62 M";13/04/2023;15/07/2025;
"14";"101 14 MILLARDET GRASSET";"101 14 M";13/04/2023;15/07/2025;
"15";"1103 PAULSEN";"1103 P";13/04/2023;15/07/2025;
"16";"31 RICHTER";"31 R";13/04/2023;15/07/2025;
"17";"99 RITCHER";"99 R";13/04/2023;15/07/2025;
"18";"110 RITCHER";"110 R";13/04/2023;15/07/2025;
"19";"140 RUGGERI";"140 RU";13/04/2023;15/07/2025;
"20";"5 BB TELEKI KOBER";"5 BB,KOBER";13/04/2023;15/07/2025;
"21";"SELEC. OPPENHEIM DE TELEK Nº 4";"SO4";13/04/2023;15/07/2025;
"22";"RUPESTRIS DE LOT";"R. DE LOT";13/04/2023;15/07/2025;
"23";"PIE FRANCO EN EL TERRITORIO DE LAS ISLAS CANARIAS";;13/04/2023;15/07/2025;
"34";"GRN1";;15/07/2025;;
"35";"GRN3";;15/07/2025;;
"36";"M 1";;15/07/2025;;
"37";"M 2";;15/07/2025;;
"38";"M 3";;15/07/2025;;
"39";"M 4";;15/07/2025;;
"40";"RESSEGIER SELEC BIROLLEAU Nº 1";"R.S.B. 1";15/07/2025;;
"41";"RG8";;15/07/2025;;
"42";"RG9";;15/07/2025;;
"43";"RIPARIA GLORIA DE MONTPELLIER";;15/07/2025;;
