"ID_TIPO_IG";"Tipo_IIGG";"ID_IIGG";"IIGG nombre_oficial";"Num_exp_UE";"ID_Categoría";"Categoría";"ID_Clase";"Clase";"ID_Subclase";"Subclase";"INE_COD_CA";"INE_CA";"Ámbito Territorial";"ID_IG_CCAA";"IG_CCAA";"INE_COD_PROV";"INE_PROV";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"DOP";"1";"Calasparra";"PDO-ES-0073";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"16";"1.6 Arroces";"07";"Comunidad Autónoma de Castilla-La Mancha";"Castilla - La Mancha, Murcia";"20";"Supraautonómica";"02";"Albacete";27/06/2023;;
"1";"DOP";"1";"Calasparra";"PDO-ES-0073";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"16";"1.6 Arroces";"13";"Región de Murcia";"Castilla - La Mancha, Murcia";"20";"Supraautonómica";"30";"Murcia";27/06/2023;;
"1";"DOP";"5";"Guijuelo";"PDO-ES-0077";"1";"Alimentarios";"2";"CLASE 1.2. PRODUCTOS CÁRNICOS";"4";"1.2 Jamones Ibéricos";"08";"Comunidad Autónoma de Castilla y León";"Andalucía, Castilla - La Mancha, Castilla y León, Extremadura";"20";"Supraautonómica";"05";"Ávila";27/06/2023;;
"1";"DOP";"5";"Guijuelo";"PDO-ES-0077";"1";"Alimentarios";"2";"CLASE 1.2. PRODUCTOS CÁRNICOS";"4";"1.2 Jamones Ibéricos";"10";"Comunidad Autónoma de Extremadura";"Andalucía, Castilla - La Mancha, Castilla y León, Extremadura";"20";"Supraautonómica";"06";"Badajoz";27/06/2023;;
"1";"DOP";"5";"Guijuelo";"PDO-ES-0077";"1";"Alimentarios";"2";"CLASE 1.2. PRODUCTOS CÁRNICOS";"4";"1.2 Jamones Ibéricos";"10";"Comunidad Autónoma de Extremadura";"Andalucía, Castilla - La Mancha, Castilla y León, Extremadura";"20";"Supraautonómica";"10";"Cáceres";27/06/2023;;
"1";"DOP";"5";"Guijuelo";"PDO-ES-0077";"1";"Alimentarios";"2";"CLASE 1.2. PRODUCTOS CÁRNICOS";"4";"1.2 Jamones Ibéricos";"07";"Comunidad Autónoma de Castilla-La Mancha";"Andalucía, Castilla - La Mancha, Castilla y León, Extremadura";"20";"Supraautonómica";"13";"Ciudad Real";27/06/2023;;
"1";"DOP";"5";"Guijuelo";"PDO-ES-0077";"1";"Alimentarios";"2";"CLASE 1.2. PRODUCTOS CÁRNICOS";"4";"1.2 Jamones Ibéricos";"01";"Comunidad Autónoma de Andalucía";"Andalucía, Castilla - La Mancha, Castilla y León, Extremadura";"20";"Supraautonómica";"14";"Córdoba";27/06/2023;;
"1";"DOP";"5";"Guijuelo";"PDO-ES-0077";"1";"Alimentarios";"2";"CLASE 1.2. PRODUCTOS CÁRNICOS";"4";"1.2 Jamones Ibéricos";"01";"Comunidad Autónoma de Andalucía";"Andalucía, Castilla - La Mancha, Castilla y León, Extremadura";"20";"Supraautonómica";"21";"Huelva";27/06/2023;;
"1";"DOP";"5";"Guijuelo";"PDO-ES-0077";"1";"Alimentarios";"2";"CLASE 1.2. PRODUCTOS CÁRNICOS";"4";"1.2 Jamones Ibéricos";"08";"Comunidad Autónoma de Castilla y León";"Andalucía, Castilla - La Mancha, Castilla y León, Extremadura";"20";"Supraautonómica";"37";"Salamanca";27/06/2023;;
"1";"DOP";"5";"Guijuelo";"PDO-ES-0077";"1";"Alimentarios";"2";"CLASE 1.2. PRODUCTOS CÁRNICOS";"4";"1.2 Jamones Ibéricos";"08";"Comunidad Autónoma de Castilla y León";"Andalucía, Castilla - La Mancha, Castilla y León, Extremadura";"20";"Supraautonómica";"40";"Segovia";27/06/2023;;
