"Código SIEX";"Aprovechamiento";"Uso SIGPAC";"Descripción";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Subproductos Pastables";"CF";"Asociación Cítricos-Frutales";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"CI";"CITRICOS";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"CS";"Asociación Cítricos-Frutales de cáscara";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"CV";"Asociación Cítricos-Viñedo";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"FF";"Asociación Frutales-Frutales de cáscara";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"FL";"FRUTOS SECOS Y OLIVAR";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"FS";"FRUTOS SECOS";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"FV";"FRUTOS SECOS Y VIÑEDO";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"FY";"FRUTALES";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"IV";"INVERNADEROS Y CULTIVOS BAJO PLASTICO";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"OC";"Asociación Olivar-Cítricos";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"OF";"OLIVAR -  FRUTAL";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"OV";"OLIVAR";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"TH";"HUERTA";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"VF";"VIÑEDO - FRUTAL";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"VI";"VIÑEDO";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"VO";"VIÑEDO - OLIVAR";20/05/2026;20/05/2026;
"1";"Subproductos Pastables";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"2";"Forestal de la dehesa (vuelo)";"PA";"PASTO CON ARBOLADO";20/05/2026;20/05/2026;
