"Código SIEX";"Código";"Tipo";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"ZNC";"Zonas de no cosechado de cereales, oleaginosas y leguminosas (por 1m2)";27/06/2023;16/01/2026;
"2";"IB";"Islas de biodiversidad (por 1 m2)";27/06/2023;22/10/2024;
"3";"MB";"Márgenes o franjas de biodiversidad (por 1 m)";27/06/2023;22/10/2024;
"4";"LF";"Lindes forestales (por 1 m)";27/06/2023;;
"5";"FP";"Franjas de protección (por 1 m)";27/06/2023;16/01/2026;
"6";"ST";"Setos/franjas arboladas (por 1 m)";27/06/2023;;
"7";"AP";"Árbol aislado";27/06/2023;16/01/2026;
"8";"AL";"Árboles en hilera";27/06/2023;16/01/2026;
"9";"AG";"Grupo de Árboles";27/06/2023;16/01/2026;
"10";"LD";"Lindes de campo (1 m)";27/06/2023;;
"11";"CH";"Charcas (charcas, lagunas, estanques y abrevaderos naturales) (por 1 m2)";27/06/2023;;
"12";"IS";"Islas o Enclaves (Islas o enclaves de vegetación natural o roca) y majanos (por 1 m2)";27/06/2023;;
"13";"TR";"Terrazas (terrazas de retención, bancales, ribazos) (por 1 m)";27/06/2023;;
"14";"MU";"Muros de piedra";27/06/2023;;
"15";"CO";"Pequeñas construcciones de arquitectura tradicional";27/06/2023;;
"16";"TBB";"Tierras en barbecho de biodiversidad (incluidos los barbechos melíferos) (por 1 m2)";27/06/2023;;
"17";"TB";"Tierras en barbecho (por 1 m2)";27/06/2023;;
"18";"ANS";"Áreas de no siega";27/06/2023;;
"19";"ZNA";"Zonas de no cosechado de aromáticas (por 1m2)";29/12/2023;;
"20";;"Cultivo fijador de nitrógeno sin aplicación de fitosanitarios (m2)";27/05/2025;;
"21";;"Superficies con vegetación (m2)";27/05/2025;;
"22";;"Zonas yermas (m2)";27/05/2025;;
"23";;"Márgenes florales de más de 0,5 m de ancho de especies autóctonas y/o naturalizadas (m2)";27/05/2025;;
"24";;"Márgenes multifuncionales de más de 2 m de ancho de especies autóctonas y/o naturalizadas (m2)";27/05/2025;;
"25";;"Bandas y zonas florales de especies autóctonas y/o naturalizadas (m2)";27/05/2025;;
"26";;"Siembra o promoción de gramíneas para favorecer la presencia de fitoseidos (m2)";27/05/2025;;
"27";;"Siega parcial del cultivo (forrajeras) (m2)";27/05/2025;;
"28";;"Nidos para abejas solitarias (uds.)";27/05/2025;;
"29";;"Otros tipos de nidos o refugios (uds.)";27/05/2025;;
"30";;"Troncos de árboles muertos con cavidades siempre que no representen un peligro (uds.)";27/05/2025;;
"31";;"Cubierta vegetal florida en calle de la finca. En el año sup. esp. flores más de 20 por ciento (m2)";27/05/2025;;
"32";"AP";"Árbol aislado";16/01/2026;;
"33";"AL";"Árboles en hilera";16/01/2026;;
