"Código SIEX";"Tipo de empresa conexa";"Descripción";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Empresas de comercialización y exportación";"Empresas de comercialización y exportación (venta mayorista, minorista, plataformas de venta online, etc.)";27/05/2026;27/05/2026;
"2";"Empresas de energías renovables y bioeconomía";"Empresas de energías renovables y bioeconomía en el sector agro (biomasa, biogás, energía solar para explotaciones)";27/05/2026;27/05/2026;
"3";"Empresas de fertilizantes y abonos";"Empresas de producción, importación, distribución o venta de productos fertilizantes y abonos (orgánicos, inorgánicos, enmiendas, bioestimulantes, etc.)";27/05/2026;27/05/2026;
"4";"Empresas de investigación, desarrollo e innovación (I+D+i)";"Laboratorios agroalimentarios y de biotecnología (análisis de suelos, aguas, piensos, genética y biotecnología vegetal/animal), universidades, centros tecnológicos y de investigación, etc.";27/05/2026;27/05/2026;
"5";"Empresas de maquinaria y tecnología agraria";"Empresas de producción, importación, distribución o venta de maquinaria y tecnología agraria (sensores, drones, software agrícola, etc.)";27/05/2026;27/05/2026;
"6";"Empresas de medicamentos veterinarios y productos zoosanitarios";"Empresas de producción, importación, distribución o venta de medicamentos veterinarios y productos zoosanitarios (antibióticos, antiparasitarios, vacunas, etc.)";27/05/2026;27/05/2026;
"7";"Empresas de productos de alimentación animal";"Empresas de producción, importación, distribución o venta de productos de alimentación animal (piensos, harinas, suplementos protéicos vitamínicos, etc.)";27/05/2026;27/05/2026;
"8";"Empresas de productos fitosanitarios y otros medios de defensa fitosanitaria";"Empresas de producción, importación, distribución o venta de productos fitosanitarios y otros medios de defensa fitosanitaria (insectidas, fungicidas, herbicidas, etc.)";27/05/2026;27/05/2026;
"9";"Empresas de semillas y material vegetal de reproducción";"Empresas de producción, importación, distribución o venta de semillas, material vegetal de reproducción y obtentoras de variedades vegetales";27/05/2026;27/05/2026;
"10";"Empresas de servicios agrarios a terceros";"Empresas de servicios agrarios y ganaderos a terceros (siembra, cosecha, tratamientos, podas, riego, etc.)";27/05/2026;27/05/2026;
"11";"Empresas de servicios financieros y seguros";"Empresas de servicios financieros, consultoria, seguros, asesoría legal y fiscal, etc.";27/05/2026;27/05/2026;
"12";"Empresas de sistemas de riego";"Empresas relacionadas con el riego, fertirrigación, etc.";27/05/2026;27/05/2026;
"13";"Empresas de transformación de productos forestales";"Empresas de transformación de productos forestales (madereras, resineras, aserraderos)";27/05/2026;27/05/2026;
"14";"Empresas de transporte y logística";"Empresas de transporte y logística de productos agrarios, agroalimentarios (perecederos no transformados), animales vivos, almacenaje, plataformas de distribución, logística refrigerada, etc.";27/05/2026;27/05/2026;
"15";"Empresas gestoras de residuos de origen o destino agrario";"Empresas gestoras de residuos de origen o destino agrario (lodos de depuradoras, restos de agroquímicos, biodigestores, compostaje, etc.)";27/05/2026;27/05/2026;
"16";"Industrias agroalimentarias";"Industrias dedicadas a la transformación, conservación y/o comercialización de productos agrícolas, ganaderos y pesqueros conviertiéndolos en alimentos y bebidas aptos para el consumo humano  (industría cárnica, láctea, de bebidas, aceites y grasas, etc.)";27/05/2026;27/05/2026;
