"Código SIEX";"Tipo de asociación";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Autorizadas de algodón";07/07/2023;;
"2";"Organización de productores de frutas y hortalizas";07/07/2023;;
"3";"Entidad de asesoramiento";07/07/2023;;
"4";"Entidad de certificación";07/07/2023;;
"5";"Asociación de razas";07/07/2023;;
"6";"Asociación de protección de variedades con riesgo de erosión genética";07/07/2023;;
"7";"Desmotadora";07/07/2023;;
"8";"Organizaciones de productores de leche";08/10/2024;;
"9";"Agrupaciones para la Gestión Integrada de Plagas";07/07/2023;;
"10";"Entidades representativas";07/07/2023;;
"11";"Agrupaciones de Defensa Sanitaria (ADS)";07/07/2023;;
"12";"Asesoramiento en Proyecto de lucha alternativa";07/07/2023;;
"13";"Formación que establezca la autoridad competente";07/07/2023;;
"14";"Empresas productoras de semillas certificadas";07/07/2023;;
"15";"Organizaciones de productores de plátanos";07/07/2023;;
"16";"Cooperativas agroalimentarias";07/07/2023;;
"17";"Organizaciones de productores de carne";08/10/2024;;
"18";"Agrupaciones de titulares de explotaciones agrarias preferentes";17/10/2024;17/01/2025;
