"Código";"Tipo Explotación";Fecha de baja
"00";"Producción y reproducción";
"01";"Tratante u operador comercial";
"02";"Centro de Testaje y/o selección y/o reproducción animal";
"03";"Certamen ganadero permanente";
"04";"Certamen ganadero no permanente";
"05";"Centro de agrupamiento de reproductores porcinos para desvieje";
"06";"Centro de tipificación ovino o bovino";
"07";"Concentración de équidos de concurso";
"08";"Otro centros de concentración animal";
"09";"Explotaciones de ocio";
"10";"Matadero";
"11";"Plaza de Toros permanente";
"12";"Plaza de Toros no permanente y/o portátil";
"13";"Centro de Inspección";
"14";"Explotación de cuarentena";
"15";"Puesto de Control";
"16";"Pasto";
"17";"Centro de sacrificio domiciliario";
"18";"Centro de enseñanza";
"19";"Centros de animales de experimentación";
"20";"Parque Zoológico";23/10/2013
"21";"Explotación para la práctica ecuestre";
"22";"Centro de muestreo para la lengua azul";
"23";"Establecimientos de transformación autorizados ";
"24";"Centros de depuración/expedición o similares";
"25";"Espacios naturales acotados";
"26";"Depósitos o paradas de sementales equinos y centros de reproducción";
"27";"Concentraciones de équidos de carácter lúdico o cultural";
"28";"Explotaciones no comerciales";
"29";"Centros de acogida o recogida de équidos abandonados";
"30";"Explotaciones de caballos silvestres o semisilvestres";
"31";"Núcleo zoológico";
"32";"Centro de sacrificio de urgencia";
"33";"Espacios cinegéticos";
"34";"Explotaciones de cuarentena";28/02/2023
"35";"Áreas protegidas";
"36";"Centro de concentración de lidia";
"37";"Explotación de cabestros";
"38";"Establecimiento de cuarentena autorizado de acuerdo con el Reglamento (UE) 2019/2035";
