"Código SIEX";"Forma jurídica";"Descripción";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"SAT";"Entidad asociativa de naturaleza civil constituida por titulares de explotaciones o trabajadores del sector agrario para desarrollar en común actividades de producción, transformación, mejora o comercialización de productos agrarios, así como la prestación de servicios vinculados a la explotación. Normativa: Ley 20/1990, de 19 de diciembre; Real Decreto 1776/1981, de 3 de agosto.";01/02/2023;27/05/2026;
"2";"Cooperativa agroalimentaria";"Entidad integrada por productores del sector agrario que se organizan de forma conjunta para realizar actividades económicas relacionadas con la obtención, transformación, almacenamiento o comercialización de productos agrarios, así como la prestación de servicios comunes, bajo principios de gestión democrática y participación económica de sus miembros. Normativa: Ley 27/1999, de 16 de julio, de Cooperativas, y legislación autonómica aplicable.";01/02/2023;27/05/2026;
"3";"Sociedad civil sin objeto mercantil";"Acuerdo privado entre dos o más personas que aportan bienes o trabajo para el ejercicio en común de una actividad agraria sin finalidad mercantil, manteniendo una gestión compartida y respondiendo personalmente de las obligaciones contraídas. Normativa: Artículos 1665 a 1708 del Código Civil.";01/02/2023;27/05/2026;
"4";"Comunidad de bienes";"Situación jurídica en la que varias personas comparten la propiedad de una explotación agraria o de los bienes que la integran, ejerciendo conjuntamente los derechos y obligaciones derivados de su gestión, sin que exista personalidad jurídica propia. Normativa: Artículos 392 a 406 del Código Civil.";01/02/2023;27/05/2026;
"5";"Otras personas jurídicas";"Entidades con personalidad jurídica distinta de las formas agrarias específicas, que pueden ser titulares de explotaciones agrarias conforme a su objeto y fines, tales como fundaciones, consorcios u otras entidades legalmente constituidas. Normativa: Normativa específica de cada tipo de entidad (por ejemplo, Ley 50/2002, de Fundaciones).";01/02/2023;27/05/2026;
"6";"Herencia yacente";"Conjunto patrimonial integrado por los bienes, derechos y obligaciones de una persona fallecida, que puede continuar la explotación agraria hasta que se produzca la aceptación y adjudicación de la herencia a los herederos. Normativa: Artículos 659, 661 y concordantes del Código Civil.";01/02/2023;27/05/2026;
"7";"Persona física";"Titular individual que ejerce directamente la actividad agraria, asumiendo la gestión, los riesgos económicos y las obligaciones derivadas de la explotación. Normativa: Código Civil; Ley 19/1995, de 4 de julio, de Modernización de las Explotaciones Agrarias.";01/02/2023;27/05/2026;
"8";"Cooperativa Uso en común de la tierra";"Entidad formada por personas que aportan tierras, derechos de uso u otros medios de producción para su explotación conjunta, gestionando de forma colectiva la actividad agraria y distribuyendo los resultados conforme a las normas internas. Normativa: Ley 27/1999, de 16 de julio, de Cooperativas.";01/02/2023;27/05/2026;
"9";"Cooperativa trabajo asociado";"Entidad en la que las personas socias aportan principalmente su trabajo personal para el desarrollo de la actividad agraria, participando de forma directa en la gestión y en los resultados económicos de la explotación. Normativa: Ley 27/1999, de 16 de julio, de Cooperativas.";01/02/2023;27/05/2026;
"10";"Cooperativa de otro tipo";"Entidad de base asociativa vinculada al sector agrario que, por su objeto o funcionamiento, no encaja en las categorías específicas anteriores, desarrollando actividades económicas o de servicios relacionadas con la explotación agraria. Normativa: Ley 27/1999, de 16 de julio, de Cooperativas.";01/02/2023;27/05/2026;
