"Código SIEX";"Especie";"Categoría";"Sexo";"Condición Edad (años)";"Parto";"Clasificación zootécnica";"Código CPE";"UGM";"Legislación"
"201";"Bovinos";"Total de animales";"Macho";"Menos de un año";"NO";;"SOC_CLVS001";"0.4";"ANEXO V - RD 1048/2022, ANEXO I - Reglamento (UE) 2018/1091"
"202";"Bovinos";"Total de animales";"Hembra";"Menos de un año";"NO";;"SOC_CLVS001";"0.4";"ANEXO V - RD 1048/2022, ANEXO I - Reglamento (UE) 2018/1091"
"203";"Bovinos";"Total de animales";"Sin dato";"Menos de un año";"NO";;"SOC_CLVS001";"0.4";"ANEXO V - RD 1048/2022, ANEXO I - Reglamento (UE) 2018/1091"
"204";"Bovinos";"Total de animales";"Macho";"Entre un año y menos de dos años";"NO";;"SOC_CLVS003";"0.7";"ANEXO V - RD 1048/2022, ANEXO I - Reglamento (UE) 2018/1091"
"205";"Bovinos";"Total de animales";"Hembra";"Entre un año y menos de dos años";"NO";;"SOC_CLVS004";"0.7";"ANEXO V - RD 1048/2022, ANEXO I - Reglamento (UE) 2018/1091"
"206";"Bovinos";"Total de animales";"Macho";"Mayor o igual de dos años";"NO";;"SOC_CLVS005";"1";"ANEXO V - RD 1048/2022, ANEXO I - Reglamento (UE) 2018/1091"
"207";"Bovinos";"Total de animales";"Hembra";"Mayor o igual de dos años";"SI";"Reproducción para producción de leche";"SOC_CLVS009";"1";"ANEXO V - RD 1048/2022, ANEXO I - Reglamento (UE) 2018/1091"
"208";"Bovinos";"Total de animales";"Hembra";"Mayor o igual de dos años";"SI";;"SOC_CLVS010";"0.8";"ANEXO V - RD 1048/2022, ANEXO I - Reglamento (UE) 2018/1091"
"209";"Cerdos";"Cebo";;;"NO";;"SOC_CLVS020";"0.3";"ANEXO I - Reglamento (UE) 2018/1091, Reglamento de Ejecución (UE) 2021/2290"
"210";"Cerdos";"Lechones";;;"NO";;"SOC_CLVS018";"0.027";"ANEXO I - Reglamento (UE) 2018/1091, ANEXO V - RD 1048/2022"
"211";"Cerdos";"Recría /Transición";;;"NO";;"SOC_CLVS020";"0.3";"ANEXO I - Reglamento (UE) 2018/1091, Reglamento de Ejecución (UE) 2021/2290"
"212";"Cerdos";"Cerdas";;;"NO";;"SOC_CLVS019";"0.5";"ANEXO I - Reglamento (UE) 2018/1091, Reglamento de Ejecución (UE) 2021/2290"
"213";"Cerdos";"Reposición";;;"NO";;"SOC_CLVS020";"0.3";"ANEXO I - Reglamento (UE) 2018/1091, Reglamento de Ejecución (UE) 2021/2290"
"214";"Cerdos";"Verracos";;;"NO";;"SOC_CLVS020";"0.3";"ANEXO I - Reglamento (UE) 2018/1091, Reglamento de Ejecución (UE) 2021/2290"
"215";"Cerdos";"Cebo de raza ibérica y sus cruces";;;"NO";;"SOC_CLVS020";"0.3";"ANEXO I - Reglamento (UE) 2018/1091, Reglamento de Ejecución (UE) 2021/2290"
"216";"Cerdos";"Lechones de raza ibérica y sus cruces";;;"NO";;"SOC_CLVS018";"0.027";"ANEXO I - Reglamento (UE) 2018/1091, ANEXO V - RD 1048/2022"
